uid,pid,ptm,pen,desc,cat,pey,act
67362,745883,DAL,JW-6000,False Start,1,5,A
67363,745905,DAL,LC-0825,False Start,1,5,A
67364,745917,DEN,BR-1050,Illegal Block Above the Waist,7,0,D
67365,745917,DEN,KP-0325,Offensive Holding,2,6,A
67366,745921,DAL,AB-3450,Defensive Pass Interference,5,14,A
67367,745922,DEN,AD-1175,Illegal Block Above the Waist,7,10,A
67368,745924,DEN,TS-1450,False Start,1,5,A
67369,745929,DEN,VM-0300,Defensive Offside,4,5,A
67370,745931,DEN,VM-0300,Defensive Offside,4,0,D
67371,745943,DEN,CH-1500,Defensive Holding,5,5,A
67372,745948,DAL,TS-2700,False Start,1,5,A
67373,745954,DEN,SB-0225,Defensive Offside,4,0,D
67374,745962,SF,ED-1000,Neutral Zone,4,5,A
67375,745969,SF,AA-0562,Defensive Holding,5,0,D
67376,745977,SEA,FC-0150,Neutral Zone,4,5,A
67377,745996,SEA,JR-1025,Illegal Use of Hands,5,5,A
67378,746004,SEA,LW-1450,Offensive Holding,2,10,A
67379,746011,SF,BH-1900,Intentional Grounding,3,11,A
67380,746035,SEA,CA-1300,Face Mask,6,15,A
67381,746045,SEA,CA-1300,Neutral Zone,4,5,A
67382,746049,SF,CH-5000,Offensive Pass Interference,2,0,D
67383,746050,SEA,JC-3518,Offensive Holding,2,6,A
67384,746057,SF,RA-1350,Unnecessary Roughness,6,15,A
67385,746058,SEA,GI-0100,Offensive Holding,2,10,A
67386,746061,SF,AL-1200,Defensive Offside,4,5,A
67387,746074,SF,DK-0600,Offensive Holding,2,10,A
67388,746099,SEA,JB-5750,False Start,1,5,A
67389,746101,SF,DJ-1750,Defensive Pass Interference,5,20,A
67390,746110,SEA,SG-1600,Illegal Block Above the Waist,7,10,A
67391,746131,LA,TJ-2250,Illegal Use of Hands,5,0,D
67392,746140,LA,MB-3650,Illegal Formation,3,0,D
67393,746141,LA,CL-0987,Offensive Holding,2,0,O
67394,746141,WAS,QD-0400,Face Mask,6,0,O
67395,746150,LA,AO-0250,Defensive Offside,4,5,A
67396,746167,WAS,ZB-0400,Neutral Zone,4,0,A
67397,746175,WAS,BS-0950,Ineligible Downfield Pass,3,0,D
67398,746178,WAS,JN-1750,Defensive Holding,5,5,A
67399,746196,LA,RH-1250,Illegal Use of Hands,2,0,D
67400,746209,WAS,MS-3450,Offensive Holding,2,10,A
67401,746220,LA,NR-0350,Defensive Pass Interference,5,25,A
67402,746238,LA,JJ-3450,Offensive Holding,2,10,A
67403,746243,LA,RW-4050,Unnecessary Roughness,6,15,A
67404,746247,LA,RS-0100,False Start,1,5,A
67405,746251,LA,RW-4050,Offensive Pass Interference,2,10,A
67406,746253,LA,RH-1250,Offensive Holding,2,0,D
67407,746255,LA,SE-0025,Offside on Free Kick,3,5,A
67408,746257,WAS,TW-2800,Offensive Holding,2,10,A
67409,746293,ATL,KN-0125,Defensive Pass Interference,5,8,A
67410,746296,ATL,AC-1500,Defensive Offside,4,1,A
67411,746305,GB,CL-0975,Offensive Holding,2,10,A
67412,746308,ATL,KI-0150,Offensive Holding,2,10,A
67413,746308,ATL,DO-0050,Offensive Holding,2,0,D
67414,746326,GB,JM-2950,False Start,1,5,A
67415,746339,ATL,RA-0650,Defensive Holding,5,5,A
67416,746347,GB,JJ-0775,Illegal Block Above the Waist,7,5,A
67417,746349,GB,MB-1800,Offensive Pass Interference,2,6,A
67418,746350,GB,RC-1500,False Start,1,4,A
67419,746356,GB,,Unsportsmanlike Conduct,6,15,A
67420,746358,GB,LK-0200,False Start,1,5,A
67421,746372,GB,GA-0250,Offensive Pass Interference,2,10,A
67422,746393,GB,AR-1300,Illegal Shift,3,5,A
67423,746399,GB,KM-3400,False Start,1,5,A
67424,746411,GB,JR-3650,Running Into the Kicker,6,0,D
67425,746423,ATL,AH-3650,False Start,1,5,A
67426,746426,ATL,AL-0700,False Start,1,5,A
67427,746436,GB,TD-0737,Illegal Shift,3,0,D
67428,746456,DET,GR-0450,Offensive Holding,2,10,A
67429,746462,NYG,EA-0575,Defensive Offside,4,5,A
67430,746471,NYG,EE-0400,Unsportsmanlike Conduct,6,15,A
67431,746491,DET,AR-1115,Encroachment,4,5,A
67432,746494,DET,GR-0450,False Start,1,5,A
67433,746496,DET,GR-0450,Offensive Holding,2,0,D
67434,746505,DET,TL-0300,Offensive Holding,2,10,A
67435,746527,NYG,BJ-2250,Offensive Holding,2,10,A
67436,746531,NYG,EM-0200,Delay of Game,3,5,A
67437,746539,DET,GG-0342,Offensive Holding,2,10,A
67438,746540,DET,RW-0150,Offensive Holding,2,10,A
67439,746543,NYG,,12 On-field,3,5,A
67440,746544,NYG,OV-0200,Defensive Offside,4,5,A
67441,746551,NYG,DR-2800,Defensive Offside,4,5,A
67442,746595,SF,DK-0600,Offensive Holding,2,0,D
67443,746597,LA,BC-2575,Defensive Offside,4,5,A
67444,746611,SF,DJ-1750,Defensive Holding,5,5,A
67445,746635,LA,RQ-0200,Defensive Offside,4,5,A
67446,746641,SF,JS-5700,False Start,1,5,A
67447,746643,SF,KJ-1400,Offensive Holding,2,10,A
67448,746654,SF,LT-0650,False Start,1,5,A
67449,746657,LA,,12 On-field,3,5,A
67450,746665,LA,GE-0400,Illegal Shift,3,0,O
67451,746665,SF,RR-0925,Defensive Pass Interference,5,0,O
67452,746671,SF,JW-0750,Unnecessary Roughness,6,2,A
67453,746685,SF,RR-0925,Defensive Pass Interference,5,8,A
67454,746686,LA,AB-1987,False Start,1,5,A
67455,746692,LA,AD-1475,Roughing the Passer,6,15,A
67456,746709,SF,RR-0925,Illegal Use of Hands,5,5,A
67457,746710,SF,DB-5475,Defensive Offside,4,5,A
67458,746712,SF,RA-1350,Horse Collar,7,0,A
67459,746728,LA,,False Start,1,5,A
67460,746736,LA,TJ-2250,Defensive Pass Interference,5,12,A
67461,746763,SF,TT-0450,Offensive Pass Interference,2,10,A
67462,746777,JAC,JP-0900,Offensive Holding,2,10,A
67463,746789,BAL,VM-0225,Illegal Touch Kick,3,0,A
67464,746809,JAC,JP-0900,Offensive Holding,2,10,A
67465,746811,JAC,PO-0150,False Start,1,5,A
67466,746818,BAL,AH-3700,Offensive Holding,2,0,D
67467,746836,JAC,TS-2050,Defensive Offside,4,5,A
67468,746844,BAL,LW-0700,Illegal Contact,5,5,A
67469,746848,BAL,MH-3742,Defensive Pass Interference,5,29,A
67470,746860,JAC,AC-0250,Offensive Holding,2,10,A
67471,746862,BAL,WH-0625,Encroachment,4,5,A
67472,746865,JAC,ML-0650,Illegal Shift,3,5,A
67473,746876,JAC,YN-0100,Unnecessary Roughness,6,15,A
67474,746877,JAC,SD-0531,Neutral Zone,4,5,A
67475,746883,BAL,MP-1225,Unsportsmanlike Conduct,6,15,A
67476,746887,BAL,RS-2650,Illegal Use of Hands,2,10,A
67477,746888,BAL,NB-0450,Offensive Pass Interference,2,10,A
67478,746897,JAC,,Illegal Formation,3,0,D
67479,746898,BAL,AC-2150,Unnecessary Roughness,6,4,A
67480,746902,BAL,NB-0450,Illegal Motion,3,5,A
67481,746923,JAC,TS-2050,12 On-field,3,5,A
67482,746933,BAL,CD-0650,Neutral Zone,4,5,A
67483,746941,DET,HN-0300,Encroachment,4,5,A
67484,746959,DET,TL-0300,Unnecessary Roughness,6,15,A
67485,746963,ATL,WS-0275,False Start,1,5,A
67486,746965,DET,NL-0250,Defensive Pass Interference,5,22,A
67487,746970,ATL,AH-3650,False Start,1,5,A
67488,746977,ATL,DJ-2450,Unnecessary Roughness,6,15,A
67489,746986,DET,AR-1115,Illegal Use of Hands,5,0,O
67490,746986,ATL,JH-1350,Offensive Holding,2,0,O
67491,747009,DET,DH-2150,Defensive Holding,5,6,A
67492,747011,ATL,WS-0275,Offensive Holding,2,10,A
67493,747037,DET,RW-0150,Offensive Holding,2,10,A
67494,747047,ATL,TS-0150,False Start,1,5,A
67495,747052,DET,GR-0450,Offensive Holding,2,0,D
67496,747055,DET,JL-2250,Delay of Game,3,5,A
67497,747093,DET,DC-0400,Fair Catch Interference,6,15,A
67498,747095,ATL,DF-1875,False Start,1,5,A
67499,747100,ATL,DP-1450,Illegal Use of Hands,5,0,D
67500,747103,DET,ZK-0200,Offensive Holding,2,10,A
67501,747104,DET,MJ-2250,Offensive Pass Interference,2,10,A
67502,747106,ATL,DT-1970,Defensive Holding,5,5,A
67503,747110,ATL,DT-1970,Defensive Pass Interference,5,18,A
67504,747120,IND,DB-2937,False Start,1,5,A
67505,747123,IND,JV-0600,False Start,1,5,A
67506,747130,CLE,SD-0534,Offensive Pass Interference,2,10,A
67507,747163,CLE,NO-0300,Roughing the Passer,6,15,A
67508,747186,CLE,BB-1650,False Start,1,5,A
67509,747187,CLE,JB-7650,Unnecessary Roughness,6,15,A
67510,747189,CLE,JP-1975,Defensive Pass Interference,5,34,A
67511,747196,IND,DB-6100,Defensive Pass Interference,5,15,A
67512,747204,IND,MH-3250,Roughing the Passer,6,1,A
67513,747211,IND,AC-1200,False Start,1,5,A
67514,747214,IND,KM-2650,Unsportsmanlike Conduct,6,15,A
67515,747216,IND,RM-3850,Defensive Holding,5,5,A
67516,747232,CLE,RH-1950,Offensive Pass Interference,2,10,A
67517,747241,CLE,RH-1950,Offensive Pass Interference,2,10,A
67518,747246,CLE,DK-0625,Neutral Zone,4,5,A
67519,747266,CLE,SD-0534,False Start,1,5,A
67520,747267,IND,DB-6100,Unnecessary Roughness,6,12,A
67521,747268,IND,RM-3850,Defensive Pass Interference,5,0,D
67522,747273,IND,JM-4150,Offensive Holding,2,10,A
67523,747275,IND,JG-1050,Offensive Holding,2,10,A
67524,747283,IND,RM-3850,Defensive Pass Interference,5,16,A
67525,747294,CLE,RL-1325,Offensive Pass Interference,2,4,A
67526,747299,DEN,AJ-0375,False Start,1,5,A
67527,747313,DEN,AB-0500,False Start,1,5,A
67528,747322,BUF,EG-0050,Defensive Pass Interference,5,0,D
67529,747327,BUF,TW-1725,Defensive Pass Interference,5,1,A
67530,747333,DEN,WP-0125,Unnecessary Roughness,6,15,A
67531,747347,BUF,MH-4000,Unnecessary Roughness,6,15,A
67532,747348,BUF,JH-5900,Roughing the Passer,6,13,A
67533,747360,BUF,TT-0500,Delay of Game,3,5,A
67534,747361,DEN,DP-0900,Illegal Use of Hands,5,4,A
67535,747365,DEN,JC-1175,Illegal Formation,3,5,A
67536,747367,BUF,NO-0150,Illegal Block Above the Waist,7,10,A
67537,747392,BUF,JM-4550,Offensive Holding,2,10,A
67538,747398,DEN,JC-2300,False Start,1,5,A
67539,747404,DEN,MW-0950,False Start,1,5,A
67540,747414,DEN,RL-0350,Offensive Holding,2,10,A
