tid,gid,tname,pts,q1p,q2p,q3p,q4p,rfd,pfd,ifd,ry,ra,py,pa,pc,sk,ints,fum,pu,gpy,pr,pry,kr,kry,ir,iry,pen,top,td,tdr,tdp,tdt,fgm,fgat,fgy,rza,rzc,bry,bpy,srp,s1rp,s2rp,s3rp,spp,s1pp,s2pp,s3pp,lea,ley,lta,lty,lga,lgy,mda,mdy,rga,rgy,rta,rty,rea,rey,r1a,r1y,r2a,r2y,r3a,r3y,qba,qby,sla,sly,sma,smy,sra,sry,dla,dly,dma,dmy,dra,dry,wr1a,wr1y,wr3a,wr3y,tea,tey,rba,rby,sga,sgy,p1a,p1y,p2a,p2y,p3a,p3y,spc,mpc,lpc,q1ra,q1ry,q1pa,q1py,lcra,lcry,lcpa,lcpy,rzra,rzry,rzpa,rzpy,sky,lbs,dbs,sfpy,drv,npy,tb,i20,rtd,lnr,lnp,lbr,lbp,dbr,dbp,nha,s3a,s3c,l3a,l3c,stf,dp,fsp,ohp,pbep,dlp,dsp,dum,pfn,snpo,snpd,fp
9120,4560,NE,36,7,14,7,8,1,16,4,59,20,337,35,25,5,0,1,6,272,2,53,2,44,2,51,69,26.5,5,0,5,0,0,0,0,2,2,0,207,9,6,3,0,19,9,4,6,1,-3,2,9,6,21,5,14,2,6,3,4,1,8,10,37,7,11,3,11,1,6,16,89,4,26,3,19,5,109,5,89,2,46,13,199,5,48,13,108,4,23,33,291,18,180,12,24,10,133,8,7,10,7,17,11,70,3,9,11,94,1,0,4,12,41,1,0,374,14,232,1,3,0,10,1,13,6,8,14,6,2,0,9,5,6,0,0,1,1,0,3,1,0,65,71,6
9121,4561,MIA,6,0,0,0,6,0,12,4,30,15,195,45,26,3,2,0,7,333,2,13,1,15,0,0,51,24,1,0,1,0,0,0,0,1,1,0,26,7,2,5,0,20,13,6,1,1,-2,1,4,1,8,6,18,0,0,5,2,1,0,5,8,9,25,1,-3,1,9,12,66,6,14,16,80,1,0,1,0,9,60,31,175,3,12,5,16,6,17,50,262,21,118,13,71,14,6,11,11,4,6,11,3,17,0,0,0,0,1,9,2,3,25,1,0,284,12,282,1,1,0,9.5,1,12.5,8,10,9,16,1,1,9,0,7,0,2,0,2,2,1,0,1,63,63,5
9122,4561,NYJ,20,0,10,10,0,4,9,3,104,35,233,23,18,2,0,1,5,243,4,31,0,0,2,13,94,36,2,1,1,0,2,3,108,2,1,22,113,13,9,4,0,13,4,5,4,2,2,5,26,1,5,13,38,3,3,5,19,4,11,18,69,10,34,5,1,3,8,4,20,5,52,10,84,1,0,1,0,2,84,9,128,6,66,7,31,0,0,29,273,6,43,11,106,8,75,3,9,6,7,19,9,47,0,0,0,0,4,18,2,10,16,1,2,377,12,230,0,3,0,3.5,0,7.5,10,4,16,0,2,1,7,2,12,0,1,6,1,0,2,2,1,63,63,14
9123,4562,NO,34,7,10,7,10,9,12,0,149,27,213,29,22,1,0,0,3,150,1,12,0,0,3,37,10,31,4,1,3,0,2,3,83,3,2,89,112,15,9,5,1,14,6,3,5,2,10,8,39,1,5,6,29,2,4,4,35,4,27,16,105,8,34,3,10,0,0,8,21,2,17,13,95,3,66,0,0,3,21,11,131,4,26,3,24,11,39,26,181,11,73,10,76,9,64,10,7,5,6,25,7,50,0,0,0,0,3,9,5,21,7,2,0,378,10,138,0,2,0,6,2,9,9,6,12,0,1,0,8,4,7,0,0,1,0,0,0,0,0,58,59,14
9124,4562,CAR,13,3,3,7,0,11,7,0,132,22,156,33,19,4,3,0,3,129,2,12,1,30,0,0,5,29,1,1,0,0,2,2,80,2,1,58,58,17,7,5,5,16,12,2,2,5,63,2,10,3,12,7,25,2,9,1,6,2,7,9,75,8,35,5,22,3,16,16,62,3,20,9,44,3,37,0,0,2,21,12,66,7,5,1,8,13,105,49,353,18,125,10,20,9,11,7,9,3,10,52,5,13,0,0,0,0,4,11,3,9,28,0,0,252,10,97,1,0,0,5.5,1.5,8.5,10,12,8.5,17,5,5,7,1,1,0,0,0,1,0,1,0,0,59,58,0
9125,4563,NYG,24,0,0,0,24,2,17,2,49,17,366,47,35,0,2,0,4,154,1,0,2,41,0,0,137,22.5,3,0,3,0,1,1,41,5,2,20,77,4,2,2,0,28,16,9,3,2,-3,5,5,0,0,7,42,0,0,3,5,0,0,9,20,6,34,2,-5,0,0,16,95,8,116,21,122,1,0,1,16,0,0,34,261,1,6,7,45,5,37,50,420,21,156,16,149,10,44,8,22,5,5,4,9,45,5,25,10,132,4,5,7,23,0,1,0,415,12,125,1,2,0,13,2,9,8.5,13,11.5,24,6,1,4,0,4,0,1,2,3,1,2,1,0,69,76,5
9126,4563,PHI,27,0,7,7,13,13,8,3,194,39,161,31,21,3,0,1,4,182,1,9,3,73,2,0,103,37.5,3,2,1,0,2,3,107,3,3,108,0,19,10,5,4,14,6,5,3,13,63,0,0,0,0,16,66,0,0,2,17,7,47,19,122,14,55,5,16,5,22,10,57,5,32,14,68,1,0,0,0,1,19,16,105,3,7,10,55,2,9,52,369,12,38,10,70,12,53,5,15,1,8,44,6,24,8,58,12,81,5,22,4,11,15,0,0,279,13,162,1,0,0,5.5,0,6,7.5,5.5,23.5,10,4,3,10,3,9,0,2,2,0,2,2,3,0,76,69,4
9127,4564,PIT,17,0,7,7,3,6,11,2,70,17,212,39,22,3,0,2,5,203,3,15,1,24,1,0,40,27.5,2,1,1,0,1,2,32,4,2,13,70,11,4,5,2,20,10,8,2,0,0,2,7,6,23,0,0,8,39,0,0,1,1,6,25,9,36,2,9,1,6,9,81,4,22,16,70,0,0,2,23,8,39,22,140,6,39,4,19,7,37,47,259,20,84,13,114,9,14,6,12,4,3,6,9,14,5,25,11,49,6,21,7,15,23,0,0,400,11,183,1,3,0,8.5,4,15,6,11.5,6,13,3,3,6,1,1,0,1,2,2,0,0,1,0,64,65,6
9128,4564,CHI,23,7,10,0,0,13,4,1,220,38,84,22,15,2,1,1,6,267,1,0,3,69,0,0,73,34,3,2,1,0,1,2,24,4,3,168,0,17,7,8,2,8,3,3,2,6,72,6,52,7,11,1,0,5,47,4,20,9,18,20,99,14,91,4,30,3,4,7,30,4,21,8,33,2,17,0,0,0,0,2,0,2,9,4,19,13,73,17,81,8,9,8,33,8,42,6,8,1,14,52,3,0,9,80,9,47,6,46,1,2,17,1,1,425,13,252,0,2,0,9,2,6,7,1,13,0,2,2,7,0,11,0,4,2,1,0,3,0,2,65,64,10
9129,4565,TB,17,3,0,14,0,0,19,1,26,9,316,40,28,2,3,0,4,163,0,0,3,79,0,0,37,22,2,0,2,0,1,1,40,1,1,0,57,4,2,2,0,24,15,8,1,2,4,2,6,0,0,0,0,3,9,0,0,2,7,7,18,2,8,0,0,1,4,12,60,5,49,13,110,3,17,4,35,3,57,19,151,14,118,6,50,1,9,29,175,21,194,15,108,6,14,4,14,10,3,6,8,62,0,0,0,0,0,0,1,15,12,0,0,248,10,163,0,0,0,14.5,3,11.5,6.5,7,11.5,17,2,0,3,1,1,0,2,2,2,2,2,0,0,53,74,-1
9130,4565,MIN,34,7,14,10,3,7,16,2,128,40,369,33,25,0,0,0,3,121,0,0,1,20,3,66,53,38,4,1,3,0,2,2,57,5,3,38,187,15,6,8,1,21,6,9,6,2,6,5,15,7,17,13,59,2,5,0,0,5,26,19,76,14,47,1,5,3,21,10,58,3,9,10,81,4,81,2,47,4,93,19,271,4,11,2,4,8,83,25,219,11,124,11,96,11,149,7,9,9,9,20,8,89,0,0,0,0,6,7,6,45,0,0,0,300,11,121,0,1,0,5.5,2,3,4,0.5,22,0,4,3,6,2,5,0,0,3,0,0,3,1,0,74,53,9
9131,4566,SEA,27,0,7,7,13,4,20,0,69,22,364,49,29,1,0,0,8,388,3,32,0,0,0,0,98,27.5,4,0,4,0,0,0,0,4,3,11,157,9,5,3,1,25,13,8,4,4,13,3,17,2,6,4,6,5,14,3,2,1,11,11,42,9,24,2,3,7,26,12,36,9,57,16,133,6,98,0,0,5,49,22,135,4,30,15,125,7,83,50,344,22,225,14,102,14,46,5,17,7,7,23,8,22,0,0,0,0,2,4,10,30,9,0,0,303,13,317,1,1,0,8.5,0.5,17.5,2.5,6,13,9,2,1,9,0,7,0,1,4,2,4,2,4,1,73,73,-1
9132,4566,TEN,33,0,9,21,3,5,10,6,196,36,225,31,20,0,0,0,6,341,5,51,2,27,0,0,45,32.5,3,1,2,0,4,4,143,3,0,110,79,16,11,5,0,16,8,4,4,4,53,6,28,3,3,11,37,1,3,3,1,6,36,19,114,14,46,1,1,6,28,15,132,2,7,7,29,4,16,0,0,3,41,10,87,9,65,9,58,3,15,30,146,9,71,9,93,13,61,5,11,4,9,1,10,33,3,7,0,0,3,7,2,0,0,1,0,415,15,289,1,3,0,6,0,12,11,4,14,2,2,1,6,1,8,0,1,4,1,0,0,2,1,73,73,1
9133,4567,CIN,24,7,14,0,3,6,13,2,111,31,191,27,21,3,0,1,6,296,5,31,1,20,1,75,68,34.5,3,0,2,1,1,2,46,2,2,55,41,10,5,3,2,16,8,6,2,4,19,1,7,3,22,7,24,3,7,6,29,5,3,17,63,8,23,4,25,1,-1,4,36,7,75,11,83,1,0,0,0,3,18,15,116,1,11,4,28,6,57,38,283,11,116,11,76,8,-1,4,13,4,10,47,10,85,9,28,8,53,5,11,2,16,21,2.5,1,291,11,226,0,2,0,7.5,2.5,5,10,4.5,18.5,4,3,1,7,2,9,7,0,1,2,2,4,0,0,61,70,14
9134,4567,GB,27,7,0,7,10,4,15,3,64,17,280,42,28,6,1,0,6,296,5,70,0,0,0,0,33,29.5,3,0,3,0,2,2,55,5,3,13,187,8,5,1,2,21,11,5,5,4,17,2,10,2,8,1,3,3,3,1,0,4,23,12,43,3,6,2,15,4,23,14,55,6,13,16,64,2,60,1,0,3,109,9,52,14,170,7,64,12,15,46,256,18,159,17,40,13,69,14,9,5,2,7,7,13,5,13,18,129,6,15,11,32,33,1,2,310,12,265,0,2,0,5.5,1,11.5,2.5,12,18.5,9,3,3,8,2,5,0,0,0,1,0,1,1,1,70,61,4
9135,4568,KC,24,14,3,0,7,8,7,1,189,25,122,21,16,5,0,0,5,249,2,10,2,66,3,38,122,30.5,3,1,2,0,1,1,34,2,1,141,30,14,7,4,3,9,5,3,1,2,4,1,1,0,0,10,59,1,40,3,24,8,32,14,99,7,56,4,5,2,9,5,36,5,33,9,56,1,0,0,0,1,30,9,77,7,41,1,1,4,36,35,272,9,67,8,32,9,23,4,10,2,4,26,4,51,9,71,9,37,3,13,3,14,33,1,0,305,10,237,0,1,0,7,2,6,5.5,11,12.5,0,3,3,8,1,5,0,1,4,2,0,6,2,0,53,73,12
9136,4568,LAC,10,7,3,0,0,5,13,6,104,26,226,40,20,2,3,0,5,250,3,12,3,64,0,0,61,29.5,1,1,0,0,1,1,29,3,1,59,70,9,6,2,1,15,3,8,4,3,24,7,25,1,1,7,38,1,2,4,2,3,12,17,73,7,18,2,13,0,0,12,55,4,19,13,59,5,44,1,0,4,60,16,76,9,107,5,30,9,24,47,283,15,40,16,146,11,40,4,10,6,13,64,7,64,3,2,10,6,2,11,2,-2,11,0,0,251,11,200,2,3,0,8.5,7,7.5,5,8,6,0,1,1,9,2,9,0,2,2,4,0,0,1,1,73,53,5
9137,4569,OAK,10,0,0,7,3,2,3,2,33,14,96,31,19,4,2,1,7,369,2,4,1,27,0,0,35,22,1,0,1,0,1,1,22,2,1,11,21,3,2,0,1,13,6,6,1,4,10,0,0,2,17,2,8,1,0,0,0,3,-2,7,23,3,3,2,7,1,6,9,56,10,36,7,26,3,0,0,0,1,0,8,13,7,27,7,42,8,36,34,106,11,40,12,49,12,7,7,11,1,5,20,6,-3,0,0,0,0,1,-3,3,0,22,0,0,444,14,346,0,3,0,15,3.5,10.5,2.5,8.5,16,4,2,0,6,0,3,0,1,3,0,0,0,0,0,51,68,3
9138,4569,WAS,27,7,7,7,6,4,14,0,116,34,356,30,25,1,0,2,5,221,4,23,0,0,2,0,77,38,3,0,3,0,2,3,51,3,1,24,227,12,10,2,0,19,6,6,7,4,17,3,7,6,21,8,20,4,11,3,14,6,26,21,93,11,20,2,3,1,2,9,146,5,15,13,120,0,0,1,18,2,52,6,52,10,102,6,55,8,142,37,377,7,106,11,84,13,152,6,11,8,8,12,8,86,0,0,0,0,6,18,3,14,9,2,0,344,12,217,0,3,0,0.5,2,6.5,13,4,7,1,1,0,9,6,6,0,2,6,2,1,2,0,0,68,51,14
9139,4570,DAL,28,0,7,7,14,6,7,2,100,27,174,18,13,1,0,0,7,311,4,43,1,18,0,0,76,24,4,2,2,0,0,0,0,3,3,60,112,9,6,2,1,8,5,2,1,2,5,1,7,1,3,13,54,0,0,4,11,4,20,16,60,7,18,2,22,2,17,3,12,4,38,7,4,1,17,0,0,3,112,7,63,3,103,4,3,4,14,19,83,6,106,6,56,7,12,5,3,5,2,0,1,3,6,31,3,94,3,25,1,15,9,0,0,353,12,307,0,3,0,10,8,8.5,6,2.5,19,0,1,1,6,0,9,0,2,0,0,5,5,0,0,47,81,7
9140,4570,ARI,17,7,0,7,3,2,15,5,49,21,283,48,29,6,0,0,6,271,2,4,2,40,0,0,50,36,2,0,2,0,1,2,37,4,1,0,171,7,4,1,2,21,6,9,6,2,-5,3,6,1,5,11,32,1,5,1,3,2,3,12,28,6,14,3,7,3,7,17,81,11,53,11,61,6,61,2,45,1,24,21,176,7,29,10,57,10,63,39,201,18,82,20,118,16,83,13,5,11,8,5,13,135,4,13,12,53,1,2,11,25,42,1,0,259,12,228,0,2,0,8,0,6,2,9,9,5,5,3,9,3,7,0,0,2,0,2,1,1,0,81,47,0
