gid,pid,detail,off,def,type,dseq,len,qtr,min,sec,ptso,ptsd,timo,timd,dwn,ytg,yfog,zone,yds,succ,fd,sg,nh,pts,bc,kne,dir,rtck1,rtck2,psr,comp,spk,loc,trg,dfb,ptck1,ptck2,sk1,sk2,ptm1,pen1,desc1,cat1,pey1,act1,ptm2,pen2,desc2,cat2,pey2,act2,ptm3,pen3,desc3,cat3,pey3,act3,ints,iry,fum,frcv,fry,forc,saf,blk,brcv,fgxp,fkicker,dist,good,punter,pgro,pnet,ptb,pr,pry,pfc,kicker,kgro,knet,ktb,kr,kry
4538,743845,(8:26) T.Siemian pass incomplete short left to J.Charles [M.Ingram].,DEN,LAC,PASS,6,6,1,8,26,0,0,3,2,1,10,55,3,,,,,,,,,,,,TS-1450,,,SL,JC-2300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4538,743846,(8:20) (Shotgun) T.Siemian pass short middle to J.Heuerman to LAC 25 for 20 yards (K.Emanuel).,DEN,LAC,PASS,7,37,1,8,20,0,0,3,2,2,10,55,3,20,Y,Y,Y,,,,,,,,TS-1450,Y,,SM,JH-3625,,KE-0550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4538,743847,(7:43) (Shotgun) T.Siemian pass incomplete deep left to E.Sanders.,DEN,LAC,PASS,8,6,1,7,43,0,0,3,2,1,10,75,4,,,,Y,,,,,,,,TS-1450,,,DL,ES-0200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4538,743848,(7:37) C.Anderson left guard to LAC 22 for 3 yards (D.Square; D.Philon).,DEN,LAC,RUSH,9,40,1,7,37,0,0,3,2,2,10,75,4,3,,,,,,CA-0750,,LG,DS-3350,DP-1275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4538,743849,(6:57) (Shotgun) T.Siemian pass short right to B.Fowler to LAC 12 for 10 yards (M.Ingram).,DEN,LAC,PASS,10,39,1,6,57,0,0,3,2,3,7,78,4,10,Y,Y,Y,,,,,,,,TS-1450,Y,,SR,BF-0950,,MI-0150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4538,743850,(6:18) C.Anderson right tackle pushed ob at LAC 5 for 7 yards (J.Brown).,DEN,LAC,RUSH,11,37,1,6,18,0,0,3,2,1,10,88,5,7,Y,,,,,CA-0750,,RT,JB-6825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4538,743851,(5:41) C.Anderson up the middle to LAC 5 for no gain (B.Mebane).,DEN,LAC,RUSH,12,43,1,5,41,0,0,3,2,2,3,95,5,0,,,,,,CA-0750,,MD,BM-1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4538,743852,"(4:58) (Shotgun) T.Siemian pass short right to B.Fowler for 5 yards, TOUCHDOWN. Penalty on LAC-J.Bosa, Defensive Offside, declined.",DEN,LAC,PASS,13,8,1,4,58,0,0,3,2,3,3,95,5,5,Y,Y,Y,,7,,,,,,TS-1450,Y,,SR,BF-0950,,,,,,LAC,JB-4450,Defensive Offside,4,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4538,743853,"B.McManus extra point is GOOD, Center-C.Kreiter, Holder-R.Dixon.",DEN,LAC,FGXP,13,3,1,4,50,7,0,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XP,BM-1650,33,Y,,,,,,,,,,,,,
4538,743854,"B.McManus kicks 65 yards from DEN 35 to end zone, Touchback.",LAC,DEN,KOFF,0,6,1,4,50,0,7,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BM-1650,65,40,Y,,
4538,743855,(4:50) M.Gordon left guard to LAC 27 for 2 yards (B.Marshall; T.Davis).,LAC,DEN,RUSH,1,35,1,4,50,0,7,2,3,1,10,25,2,2,,,,,,MG-1150,,LG,BM-0330,TD-0725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4538,743856,"(4:03) (Shotgun) M.Gordon up the middle to LAC 28 for 1 yard (D.Wolfe, B.Marshall).",LAC,DEN,RUSH,2,43,1,4,3,0,7,2,3,2,8,27,2,1,,,Y,,,MG-1150,,MD,DW-4250,BM-0330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4538,743857,(3:20) (Shotgun) P.Rivers pass short left to K.Allen to LAC 37 for 9 yards (J.Simmons).,LAC,DEN,PASS,3,39,1,3,20,0,7,2,3,3,7,28,2,9,Y,Y,Y,,,,,,,,PR-0300,Y,,SL,KA-0650,,JS-3150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4538,743858,(2:41) (Shotgun) M.Gordon left tackle to LAC 39 for 2 yards (T.Davis; S.Harris).,LAC,DEN,RUSH,4,40,1,2,41,0,7,2,3,1,10,37,2,2,,,Y,,,MG-1150,,LT,SH-0150,TD-0725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4538,743859,"(2:01) P.Rivers pass incomplete short left to K.Allen (C.Harris). Los Angeles Chargers challenged the incomplete pass ruling, and the play was Upheld.",LAC,DEN,PASS,5,10,1,2,1,0,7,2,3,2,8,39,2,,,,,,,,,,,,PR-0300,,,SL,KA-0650,CH-1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4538,743860,"(1:51) (Shotgun) P.Rivers pass incomplete deep middle to K.Allen (B.Roby). PENALTY on DEN-B.Roby, Defensive Pass Interference, 40 yards, enforced at LAC 39 - No Play.",LAC,DEN,NOPL,5,7,1,1,51,0,7,2,3,3,8,39,2,,,Y,,,,,,,,,,,,,,,,,,,DEN,BR-1050,Defensive Pass Interference,5,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4538,743861,(1:44) M.Gordon right guard to DEN 21 for no gain (J.Simmons; D.Wolfe).,LAC,DEN,RUSH,6,37,1,1,44,0,7,2,3,1,10,79,4,0,,,,,,MG-1150,,RG,DW-4250,JS-3150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4538,743862,(1:07) (Shotgun) M.Gordon left tackle to DEN 11 for 10 yards (J.Simmons).,LAC,DEN,RUSH,7,43,1,1,7,0,7,2,3,2,10,79,4,10,Y,Y,Y,,,MG-1150,,LT,JS-3150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4538,743863,(:24) (Shotgun) M.Gordon up the middle to DEN 11 for no gain (A.Gotsis).,LAC,DEN,RUSH,8,35,1,0,24,0,7,2,3,1,10,89,5,0,,,Y,,,MG-1150,,MD,AG-1350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4538,743864,"(15:00) (Shotgun) P.Rivers pass short middle to M.Gordon for 11 yards, TOUCHDOWN [D.Wolfe].",LAC,DEN,PASS,9,5,2,15,0,0,7,2,3,2,10,89,5,11,Y,Y,Y,,7,,,,,,PR-0300,Y,,SM,MG-1150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4538,743865,"Y.Koo extra point is GOOD, Center-M.Windt, Holder-D.Kaser.",LAC,DEN,FGXP,9,3,2,14,55,7,7,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XP,YK-0100,33,Y,,,,,,,,,,,,,
4538,743866,"Y.Koo kicks 65 yards from LAC 35 to end zone, Touchback.",DEN,LAC,KOFF,0,6,2,14,55,7,7,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YK-0100,65,40,Y,,
4538,743867,"(14:55) (Shotgun) C.Anderson up the middle to DEN 27 for 2 yards (J.Brown, H.Pullard).",DEN,LAC,RUSH,1,35,2,14,55,7,7,3,2,1,10,25,2,2,,,Y,,,CA-0750,,MD,JB-6825,HP-0200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4538,743868,(14:16) (Shotgun) T.Siemian pass short left to E.Sanders to DEN 29 for 2 yards (T.Williams42; J.Addae).,DEN,LAC,PASS,2,43,2,14,16,7,7,3,2,2,8,27,2,2,,,Y,,,,,,,,TS-1450,Y,,SL,ES-0200,,JA-0280,TW-2856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4538,743869,(13:33) (Shotgun) T.Siemian pass incomplete short middle to D.Thomas (T.Boston).,DEN,LAC,PASS,3,5,2,13,33,7,7,3,2,3,6,29,2,,,,Y,,,,,,,,TS-1450,,,SM,DT-0900,TB-1850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4538,743870,"(13:28) R.Dixon punts 53 yards to LAC 18, Center-C.Kreiter. T.Benjamin to LAC 15 for -3 yards (C.Latimer).",LAC,DEN,PUNT,0,9,2,13,28,7,7,2,3,4,6,29,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RD-1187,53,56,,TB-1060,-3,,,,,,,
4538,743871,(13:19) (Shotgun) B.Oliver up the middle to LAC 21 for 6 yards (B.Roby).,LAC,DEN,RUSH,1,31,2,13,19,7,7,2,3,1,10,15,1,6,Y,,Y,,,BO-0150,,MD,BR-1050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4538,743872,"(12:48) B.Oliver left tackle to LAC 24 for 3 yards (V.Miller, S.Harris).",LAC,DEN,RUSH,2,44,2,12,48,7,7,2,3,2,4,21,2,3,Y,,,,,BO-0150,,LT,SH-0150,VM-0300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4538,743873,(12:04) (Shotgun) P.Rivers pass short right to M.Gordon ran ob at LAC 27 for 3 yards.,LAC,DEN,PASS,3,21,2,12,4,7,7,2,3,3,1,24,2,3,Y,Y,Y,,,,,,,,PR-0300,Y,,SR,MG-1150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4538,743874,(11:43) B.Oliver up the middle to LAC 28 for 1 yard (A.Gotsis).,LAC,DEN,RUSH,4,32,2,11,43,7,7,2,3,1,10,27,2,1,,,,,,BO-0150,,MD,AG-1350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4538,743875,(11:11) B.Oliver up the middle to LAC 28 for no gain (A.Gotsis).,LAC,DEN,RUSH,5,46,2,11,11,7,7,2,3,2,9,28,2,0,,,,,,BO-0150,,MD,AG-1350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4538,743876,(10:25) (Shotgun) P.Rivers pass incomplete short right to A.Gates [V.Miller].,LAC,DEN,PASS,6,5,2,10,25,7,7,2,3,3,9,28,2,,,,Y,,,,,,,,PR-0300,,,SR,AG-0500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4538,743877,"(10:20) D.Kaser punts 59 yards to DEN 13, Center-M.Windt. I.McKenzie ran ob at DEN 44 for 31 yards.",DEN,LAC,PUNT,0,15,2,10,20,7,7,3,2,4,9,28,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DK-0350,59,28,,IM-0125,31,,,,,,,
4538,743878,(10:05) J.Charles right tackle to DEN 47 for 3 yards (K.Toomer; B.Mebane).,DEN,LAC,RUSH,1,42,2,10,5,7,7,3,2,1,10,44,3,3,,,,,,JC-2300,,RT,BM-1800,KT-0650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4538,743879,(9:23) (Shotgun) T.Siemian pass incomplete short left to E.Sanders (K.Toomer).,DEN,LAC,PASS,2,4,2,9,23,7,7,3,2,2,7,47,3,,,,Y,,,,,,,,TS-1450,,,SL,ES-0200,KT-0650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4538,743880,(9:19) (Shotgun) T.Siemian pass short left to A.Derby to LAC 44 for 9 yards (J.Brown).,DEN,LAC,PASS,3,39,2,9,19,7,7,3,2,3,7,47,3,9,Y,Y,Y,,,,,,,,TS-1450,Y,,SL,AD-1175,,JB-6825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4538,743881,(8:40) C.Anderson left tackle pushed ob at LAC 26 for 18 yards (T.Boston).,DEN,LAC,RUSH,4,35,2,8,40,7,7,3,2,1,10,56,3,18,Y,Y,,,,CA-0750,,LT,TB-1850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4538,743882,(8:05) T.Siemian scrambles up the middle to LAC 18 for 8 yards (J.Brown).,DEN,LAC,RUSH,5,40,2,8,5,7,7,3,2,1,10,74,4,8,Y,,,,,TS-1450,,MD,JB-6825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4538,743883,(7:25) (Shotgun) J.Charles up the middle to LAC 14 for 4 yards (H.Pullard; J.Bosa).,DEN,LAC,RUSH,6,41,2,7,25,7,7,3,2,2,2,82,5,4,Y,Y,Y,,,JC-2300,,MD,JB-4450,HP-0200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4538,743884,(6:44) (Shotgun) T.Siemian pass short left to A.Derby to LAC 1 for 13 yards (H.Pullard).,DEN,LAC,PASS,7,33,2,6,44,7,7,3,2,1,10,86,5,13,Y,Y,Y,,,,,,,,TS-1450,Y,,SL,AD-1175,,HP-0200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4538,743885,(6:11) C.Anderson up the middle to LAC 1 for no gain (I.Rochell).,DEN,LAC,RUSH,8,38,2,6,11,7,7,3,1,1,1,99,5,0,,,,,,CA-0750,,MD,IR-0400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4538,743886,"(5:33) T.Siemian scrambles right end for 1 yard, TOUCHDOWN.",DEN,LAC,RUSH,9,6,2,5,33,7,7,3,1,2,1,99,5,1,Y,Y,,,7,TS-1450,,RE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4538,743887,"B.McManus extra point is GOOD, Center-C.Kreiter, Holder-R.Dixon.",DEN,LAC,FGXP,9,3,2,5,27,14,7,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XP,BM-1650,33,Y,,,,,,,,,,,,,
4538,743888,"B.McManus kicks 65 yards from DEN 35 to end zone, Touchback.",LAC,DEN,KOFF,0,6,2,5,27,7,14,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BM-1650,65,40,Y,,
4538,743889,(5:27) M.Gordon right tackle to LAC 27 for 2 yards (V.Miller).,LAC,DEN,RUSH,1,35,2,5,27,7,14,1,3,1,10,25,2,2,,,,,,MG-1150,,RT,VM-0300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4538,743890,(4:47) (Shotgun) P.Rivers pass short right to T.Benjamin pushed ob at LAC 33 for 6 yards (D.Stewart) [B.Marshall].,LAC,DEN,PASS,2,37,2,4,47,7,14,1,3,2,8,27,2,6,Y,,Y,,,,,,,,PR-0300,Y,,SR,TB-1060,,DS-4300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4538,743891,(4:10) (Shotgun) P.Rivers pass short right to K.Allen to LAC 42 for 9 yards (V.Miller).,LAC,DEN,PASS,3,41,2,4,10,7,14,1,3,3,2,33,2,9,Y,Y,Y,,,,,,,,PR-0300,Y,,SR,KA-0650,,VM-0300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4538,743892,(3:29) P.Rivers pass short middle to T.Williams16 to DEN 44 for 14 yards (D.Stewart).,LAC,DEN,PASS,4,39,2,3,29,7,14,1,3,1,10,42,3,14,Y,Y,,,,,,,,,PR-0300,Y,,SM,TW-2875,,DS-4300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4538,743893,(2:50) M.Gordon up the middle to DEN 43 for 1 yard (T.Jarrett; D.Stewart).,LAC,DEN,RUSH,5,43,2,2,50,7,14,1,3,1,10,56,3,1,,,,,,MG-1150,,MD,DS-4300,TJ-0925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4538,743894,(2:07) M.Gordon up the middle to DEN 39 for 4 yards (D.Stewart).,LAC,DEN,RUSH,6,7,2,2,7,7,14,1,3,2,9,57,3,4,,,,,,MG-1150,,MD,DS-4300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4538,743895,(2:00) (Shotgun) P.Rivers pass incomplete short left to B.Oliver.,LAC,DEN,PASS,7,4,2,2,0,7,14,1,3,3,5,61,4,,,,Y,,,,,,,,PR-0300,,,SL,BO-0150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4538,743896,"(1:56) D.Kaser punts 30 yards to DEN 9, Center-M.Windt. I.McKenzie to DEN 18 for 9 yards (A.Ekeler).",DEN,LAC,PUNT,0,10,2,1,56,14,7,3,1,4,5,61,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DK-0350,30,21,,IM-0125,9,,,,,,,
4538,743897,(1:46) C.Anderson up the middle to DEN 27 for 9 yards (B.Mebane).,DEN,LAC,RUSH,1,30,2,1,46,14,7,3,1,1,10,18,1,9,Y,,,,,CA-0750,,MD,BM-1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4538,743898,(1:16) C.Anderson left tackle to DEN 32 for 5 yards (J.Verrett).,DEN,LAC,RUSH,2,24,2,1,16,14,7,3,1,2,1,27,2,5,Y,Y,,,,CA-0750,,LT,JV-0425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4538,743899,(:52) (Shotgun) T.Siemian scrambles right tackle pushed ob at DEN 34 for 2 yards (J.Brown).,DEN,LAC,RUSH,3,8,2,0,52,14,7,3,1,1,10,32,2,2,,,Y,,,TS-1450,,RT,JB-6825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4538,743900,"(:44) (Shotgun) T.Siemian sacked at DEN 24 for -10 yards (C.McCain). Penalty on DEN-G.Bolles, Offensive Holding, declined.",DEN,LAC,PASS,4,6,2,0,44,14,7,3,1,2,8,34,2,-10,,,Y,,,,,,,,TS-1450,,,,,,,,CM-1250,,DEN,GB-0650,Offensive Holding,2,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4538,743901,(:38) (Shotgun) J.Charles up the middle to DEN 28 for 4 yards (C.McCain).,DEN,LAC,RUSH,5,25,2,0,38,14,7,3,1,3,18,24,2,4,,,Y,,,JC-2300,,MD,CM-1250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4538,743902,"B.McManus kicks 65 yards from DEN 35 to end zone, Touchback.",LAC,DEN,KOFF,0,6,3,15,0,7,14,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BM-1650,65,40,Y,,
4538,743903,(15:00) (Shotgun) M.Gordon up the middle to LAC 27 for 2 yards (D.Peko).,LAC,DEN,RUSH,1,35,3,15,0,7,14,3,3,1,10,25,2,2,,,Y,,,MG-1150,,MD,DP-0900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4538,743904,(14:19) (Shotgun) M.Gordon right end to LAC 29 for 2 yards (D.Stewart).,LAC,DEN,RUSH,2,46,3,14,19,7,14,3,3,2,8,27,2,2,,,Y,,,MG-1150,,RE,DS-4300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4538,743905,(13:33) (Shotgun) P.Rivers pass short middle intended for K.Allen INTERCEPTED by B.Roby [J.Simmons] at LAC 43. B.Roby to LAC 43 for no gain (K.Allen).,LAC,DEN,PASS,3,6,3,13,33,7,14,3,3,3,6,29,2,,,,Y,,,,,,,,PR-0300,,,SM,KA-0650,,,,,,,,,,,,,,,,,,,,,,,,BR-1050,0,,,,,,,,,,,,,,,,,,,,,,,,
4538,743906,(13:27) C.Anderson right guard to LAC 39 for 4 yards (K.Toomer).,DEN,LAC,RUSH,1,32,3,13,27,14,7,3,3,1,10,57,3,4,Y,,,,,CA-0750,,RG,KT-0650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4538,743907,(12:55) (Shotgun) T.Siemian pass incomplete short left to D.Thomas88.,DEN,LAC,PASS,2,4,3,12,55,14,7,3,3,2,6,61,4,,,,Y,,,,,,,,TS-1450,,,SL,DT-0900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4538,743908,(12:51) (Shotgun) T.Siemian pass deep right to D.Thomas88 ran ob at LAC 10 for 29 yards.,DEN,LAC,PASS,3,42,3,12,51,14,7,3,3,3,6,61,4,29,Y,Y,Y,,,,,,,,TS-1450,Y,,DR,DT-0900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4538,743909,(12:09) (Shotgun) T.Siemian scrambles right tackle to LAC 2 for 8 yards (J.Brown).,DEN,LAC,RUSH,4,48,3,12,9,14,7,3,3,1,10,90,5,8,Y,,Y,,,TS-1450,,RT,JB-6825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4538,743910,"(11:21) PENALTY on DEN, Illegal Shift, 5 yards, enforced at LAC 2 - No Play.",DEN,LAC,NOPL,4,8,3,11,21,14,7,3,3,2,2,98,5,,,,,,,,,,,,,,,,,,,,,,DEN,,Illegal Shift,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4538,743911,(11:13) (Shotgun) T.Siemian scrambles right tackle to LAC 6 for 1 yard (J.Bosa).,DEN,LAC,RUSH,5,42,3,11,13,14,7,3,3,2,7,93,5,1,,,Y,,,TS-1450,,RT,JB-4450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4538,743912,"(10:31) (Shotgun) T.Siemian pass short left to B.Fowler for 6 yards, TOUCHDOWN.",DEN,LAC,PASS,6,4,3,10,31,14,7,3,3,3,6,94,5,6,Y,Y,Y,,7,,,,,,TS-1450,Y,,SL,BF-0950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4538,743913,"B.McManus extra point is GOOD, Center-C.Kreiter, Holder-R.Dixon.",DEN,LAC,FGXP,6,3,3,10,27,21,7,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XP,BM-1650,33,Y,,,,,,,,,,,,,
4538,743914,"B.McManus kicks 65 yards from DEN 35 to end zone, Touchback.",LAC,DEN,KOFF,0,6,3,10,27,7,21,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BM-1650,65,40,Y,,
4538,743915,(10:27) (Shotgun) P.Rivers sacked at LAC 18 for -7 yards (S.Barrett).,LAC,DEN,PASS,1,30,3,10,27,7,21,3,3,1,10,25,2,-7,,,Y,,,,,,,,PR-0300,,,,,,,,SB-0225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4538,743916,(9:41) (Shotgun) P.Rivers pass short left to M.Gordon to LAC 17 for -1 yards (D.Stewart).,LAC,DEN,PASS,2,45,3,9,41,7,21,3,3,2,17,18,1,-1,,,Y,,,,,,,,PR-0300,Y,,SL,MG-1150,,DS-4300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4538,743917,(8:56) (Shotgun) P.Rivers pass short left to T.Williams16 pushed ob at LAC 26 for 9 yards (B.Roby).,LAC,DEN,PASS,3,27,3,8,56,7,21,3,3,3,18,17,1,9,,,Y,,,,,,,,PR-0300,Y,,SL,TW-2875,,BR-1050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4538,743918,"(8:29) D.Kaser punts 62 yards to DEN 12, Center-M.Windt. I.McKenzie to DEN 20 for 8 yards (A.Phillips; N.Harris).",DEN,LAC,PUNT,0,13,3,8,29,21,7,3,3,4,9,26,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DK-0350,62,54,,IM-0125,8,,,,,,,
4538,743919,(8:16) T.Siemian pass short left to D.Thomas88 to DEN 34 for 14 yards (C.Hayward) [D.Philon].,DEN,LAC,PASS,1,43,3,8,16,21,7,3,3,1,10,20,1,14,Y,Y,,,,,,,,,TS-1450,Y,,SL,DT-0900,,CH-2250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4538,743920,(7:33) J.Charles right guard to DEN 41 for 7 yards (K.Toomer; J.Brown).,DEN,LAC,RUSH,2,35,3,7,33,21,7,3,3,1,10,34,2,7,Y,,,,,JC-2300,,RG,JB-6825,KT-0650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4538,743921,(6:58) (Shotgun) J.Charles left end pushed ob at LAC 47 for 12 yards (H.Pullard).,DEN,LAC,RUSH,3,40,3,6,58,21,7,3,3,2,3,41,3,12,Y,Y,Y,,,JC-2300,,LE,HP-0200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4538,743922,(6:18) T.Siemian pass short right to A.Derby to LAC 35 for 12 yards (T.Boston).,DEN,LAC,PASS,4,50,3,6,18,21,7,3,3,1,10,53,3,12,Y,Y,,,,,,,,,TS-1450,Y,,SR,AD-1175,,TB-1850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4538,743923,(5:28) T.Siemian sacked at LAC 44 for -9 yards (J.Bosa).,DEN,LAC,PASS,5,42,3,5,28,21,7,3,3,1,10,65,4,-9,,,,,,,,,,,TS-1450,,,,,,,,JB-4450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
