gid,pid,detail,off,def,type,dseq,len,qtr,min,sec,ptso,ptsd,timo,timd,dwn,ytg,yfog,zone,yds,succ,fd,sg,nh,pts,bc,kne,dir,rtck1,rtck2,psr,comp,spk,loc,trg,dfb,ptck1,ptck2,sk1,sk2,ptm1,pen1,desc1,cat1,pey1,act1,ptm2,pen2,desc2,cat2,pey2,act2,ptm3,pen3,desc3,cat3,pey3,act3,ints,iry,fum,frcv,fry,forc,saf,blk,brcv,fgxp,fkicker,dist,good,punter,pgro,pnet,ptb,pr,pry,pfc,kicker,kgro,knet,ktb,kr,kry
4524,741576,(12:17) T.Brady pass incomplete short right to R.Gronkowski.,NE,KC,PASS,8,5,1,12,17,0,0,3,3,1,2,98,5,,,,,,,,,,,,TB-2300,,,SR,RG-2200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4524,741577,"(12:12) M.Gillislee up the middle for 2 yards, TOUCHDOWN.",NE,KC,RUSH,9,4,1,12,12,0,0,3,3,2,2,98,5,2,Y,Y,,,7,MG-0650,,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4524,741578,"S.Gostkowski extra point is GOOD, Center-J.Cardona, Holder-R.Allen.",NE,KC,FGXP,9,3,1,12,8,7,0,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XP,SG-0800,33,Y,,,,,,,,,,,,,
4524,741579,"S.Gostkowski kicks 65 yards from NE 35 to end zone, Touchback.",KC,NE,KOFF,0,6,1,12,8,0,7,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SG-0800,65,40,Y,,
4524,741580,"(12:08) (Shotgun) K.Hunt right tackle to KC 32 for 7 yards (J.Richards). FUMBLES (J.Richards), RECOVERED by NE-D.McCourty at KC 32. D.McCourty to KC 32 for no gain (C.Conley).",KC,NE,RUSH,1,35,1,12,8,0,7,3,3,1,10,25,2,7,,Y,Y,,,KH-2850,,RT,JR-2150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KH-2850,DM-1300,0,JR-2150,,,,,,,,,,,,,,,,,,,,
4524,741581,(12:00) (Shotgun) T.Brady pass incomplete deep left to R.Gronkowski.,NE,KC,PASS,1,5,1,12,0,7,0,3,3,1,10,68,4,,,,Y,,,,,,,,TB-2300,,,DL,RG-2200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4524,741582,(11:55) (Shotgun) T.Brady pass short left to J.White to KC 29 for 3 yards (R.Parker).,NE,KC,PASS,2,34,1,11,55,7,0,3,3,2,10,68,4,3,,,Y,,,,,,,,TB-2300,Y,,SL,JW-2550,,RP-0200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4524,741583,(11:21) (Shotgun) J.White right guard to KC 19 for 10 yards (R.Parker).,NE,KC,RUSH,3,43,1,11,21,7,0,3,3,3,7,71,4,10,Y,Y,Y,,,JW-2550,,RG,RP-0200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4524,741584,(10:38) (Shotgun) T.Brady pass incomplete deep left to R.Gronkowski.,NE,KC,PASS,4,4,1,10,38,7,0,3,3,1,10,81,5,,,,Y,,,,,,,,TB-2300,,,DL,RG-2200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4524,741585,"(10:34) R.Burkhead left guard to KC 20 for -1 yards (E.Berry, B.Logan).",NE,KC,RUSH,5,41,1,10,34,7,0,3,3,2,10,81,5,-1,,,,,,RB-4670,,LG,BL-1350,EB-0800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
