uid,gid,tname,player,pos,snp
19802,4527,CIN,TJ-1150,C,32
19803,4527,CIN,TH-2450,RG,29
19804,4527,CIN,GB-0350,RB,29
19805,4527,CIN,JM-5275,RB,22
19806,4527,CIN,TK-0850,TE,12
19807,4527,CIN,CC-4450,LWR,10
19808,4527,CIN,JH-4025,RB,10
19809,4527,CIN,RH-1875,TE,7
19810,4527,CIN,AE-1037,RWR,7
19811,4527,CIN,NV-0200,SLB,61
19812,4527,CIN,DD-0950,RCB,61
19813,4527,CIN,DK-0750,LCB,61
19814,4527,CIN,GI-1300,FS,58
19815,4527,CIN,CD-2200,LDE,55
19816,4527,CIN,CF-0337,FS,52
19817,4527,CIN,VR-0200,WLB,51
19818,4527,CIN,GA-0400,RDT,41
19819,4527,CIN,KM-1950,MLB,38
19820,4527,CIN,PS-0300,NT,30
19821,4527,CIN,WJ-0150,RCB,29
19822,4527,CIN,CS-2350,LDE,28
19823,4527,CIN,JW-4912,RDE,26
19824,4527,CIN,RG-1150,RDT,26
19825,4527,CIN,MJ-1800,RDE,24
19826,4527,CIN,CL-0375,SLB,23
19827,4527,CIN,JS-2050,LCB,22
19828,4527,CIN,AB-1650,NT,11
19829,4527,CIN,JE-1050,WLB,12
19830,4527,CIN,KR-1250,LCB,2
19831,4527,CIN,HN-0400,LB,1
19832,4528,JAC,ML-1500,TE,64
19833,4528,JAC,AC-0250,RG,64
19834,4528,JAC,BL-1150,C,64
19835,4528,JAC,PO-0150,LT,64
19836,4528,JAC,JP-0900,RT,64
19837,4528,JAC,BB-2425,QB,64
19838,4528,JAC,CR-1162,LT,64
19839,4528,JAC,ML-0650,LWR,53
19840,4528,JAC,AH-3900,RWR,51
19841,4528,JAC,LF-0650,RB,39
19842,4528,JAC,BK-1050,TE,27
19843,4528,JAC,TB-1720,FB,26
19844,4528,JAC,CI-0300,RB,26
19845,4528,JAC,KC-1550,RWR,19
19846,4528,JAC,AB-1200,LWR,7
19847,4528,JAC,TS-1275,C,5
19848,4528,JAC,AR-1250,WR,3
19849,4528,JAC,JO-0150,TE,1
19850,4528,JAC,MJ-0015,SLB,64
19851,4528,JAC,AB-2250,RCB,64
19852,4528,JAC,TS-2050,WLB,64
19853,4528,JAC,JR-0150,LCB,64
19854,4528,JAC,TG-0950,FS,64
19855,4528,JAC,BC-1200,SS,64
