pid,bc,dir,yds,succ,kne
748666,JH-4025,RG,1,0,0
748667,JH-4025,LG,5,1,0
748668,JH-4025,MD,3,0,0
748673,TM-3150,LE,0,0,0
748678,TM-3150,MD,3,0,0
748680,AR-1300,RE,9,1,0
748681,JW-3650,LG,6,1,0
748686,JM-5275,MD,10,1,0
748688,JM-5275,LG,8,1,0
748689,JM-5275,RE,-1,0,0
748690,GB-0350,MD,1,0,0
748709,TM-3150,LE,8,1,0
748710,TM-3150,RG,3,1,0
748712,TM-3150,RG,0,0,0
748713,TM-3150,RT,0,0,0
748718,JM-5275,RT,-2,0,0
748722,TM-3150,LE,2,0,0
748728,JH-4025,LE,3,0,0
748732,AR-1300,RE,13,1,0
748743,JM-5275,RG,0,0,0
748744,GB-0350,RT,1,0,0
748747,TM-3150,LT,4,1,0
748750,TM-3150,LG,2,0,0
748751,AR-1300,RE,3,0,0
748754,JM-5275,MD,2,0,0
748758,JM-5275,RG,6,1,0
748759,JM-5275,RT,6,1,0
748761,JM-5275,LT,7,1,0
748763,JM-5275,LG,9,1,0
748764,AD-0100,MD,-1,0,0
748777,TM-3150,LT,6,1,0
748782,AD-0100,NL,-1,0,1
748784,JM-5275,RT,-2,0,0
748791,AR-1300,RE,-2,0,0
748794,MG-1150,MD,10,1,0
748797,KH-2850,MD,8,1,0
748799,AS-1600,MD,4,1,0
748803,MG-1150,MD,14,1,0
748804,MG-1150,LT,14,1,0
748805,TB-1060,LE,9,1,0
748806,BO-0150,LT,-1,0,0
748807,BO-0150,MD,3,1,0
748809,MG-1150,MD,2,0,0
748812,KH-2850,MD,3,0,0
748813,KH-2850,RE,11,1,0
748817,MG-1150,MD,-2,0,0
748818,MG-1150,LE,9,1,0
748820,MG-1150,RT,-3,0,0
748821,MG-1150,RT,0,0,0
748823,BO-0150,LT,-2,0,0
748825,MG-1150,RE,11,1,0
748828,CW-1450,RE,1,0,0
748830,KH-2850,MD,10,0,0
748834,MG-1150,RE,2,0,0
748837,TH-1750,LE,3,0,0
748838,KH-2850,RT,20,1,0
748839,AS-1600,RE,5,1,0
748843,KH-2850,RT,-1,0,0
748850,MG-1150,LE,6,1,0
748852,MG-1150,RG,2,0,0
748854,MG-1150,LT,3,0,0
748859,MG-1150,RT,0,0,0
748862,MG-1150,MD,10,0,0
748865,KH-2850,RE,5,1,0
748867,KH-2850,RE,1,0,0
748869,TH-1750,LE,1,0,0
748873,BO-0150,RT,5,0,0
748876,BO-0150,LT,3,0,0
748878,BO-0150,LT,6,1,0
748879,BO-0150,MD,1,0,0
748894,KH-2850,MD,11,1,0
748896,CW-1450,MD,-2,0,0
748897,TH-1750,RE,9,1,0
748899,AW-1650,RE,-4,0,0
748900,MG-1150,RE,-1,0,0
748901,BO-0150,LG,1,0,0
748905,KH-2850,MD,20,1,0
748914,MG-1150,LT,2,0,0
748919,KH-2850,MD,0,0,0
748921,KH-2850,LT,1,0,0
748923,KH-2850,MD,3,1,0
748936,KH-2850,RE,4,1,0
748937,KH-2850,RT,5,1,0
748938,KH-2850,MD,2,1,0
748939,KH-2850,RG,69,1,0
748952,ML-2500,MD,3,0,0
748954,SP-0825,RE,2,0,0
748955,SP-0825,RG,2,0,0
748957,SP-0825,LG,1,0,0
748959,SP-0825,LG,4,1,0
748960,SP-0825,LT,0,0,0
748964,ML-2500,LE,3,0,0
748968,SP-0825,LG,4,1,0
748973,CP-0750,RE,8,1,0
748975,ML-2500,LE,1,0,0
748977,SP-0825,RE,2,0,0
748981,SP-0825,LE,-3,0,0
748985,ML-2500,MD,5,0,0
748991,CT-1220,RE,4,0,0
748996,ML-2500,LE,1,0,0
748999,SP-0825,LG,9,1,0
749000,SP-0825,MD,3,1,0
749002,SP-0825,RT,8,1,0
749004,SP-0825,LG,2,0,0
749007,SP-0825,RG,4,1,0
749012,JR-2075,LG,11,1,0
749014,JR-2075,RE,-7,0,0
749017,CT-1220,LE,13,1,0
749020,CT-1220,RT,4,0,0
749024,DC-0725,NL,-1,0,1
749026,SP-0825,MD,2,0,0
749030,CT-1220,MD,0,0,0
749037,ML-2500,LE,5,0,0
749040,SP-0825,MD,1,0,0
749044,DW-1350,RG,0,0,0
749048,CP-0750,RE,-3,0,0
749052,SP-0825,RG,1,0,0
749056,CT-1220,RT,2,0,0
749057,SP-0825,RG,4,0,0
749066,SP-0825,MD,3,1,0
749067,SP-0825,LT,0,0,0
749074,MB-3856,RE,1,0,0
749076,CT-1220,LE,8,1,0
749077,CT-1220,LT,7,1,0
749078,MB-3856,RE,11,1,0
749079,MB-3856,RE,6,1,0
749080,CT-1220,MD,0,0,0
749081,KC-2350,MD,2,0,0
749087,DC-0725,LG,6,1,0
749094,MB-3856,MD,9,1,0
749095,MB-3856,LE,-1,0,0
749096,MB-3856,LG,1,0,0
749106,CJ-1700,MD,-1,0,0
749111,CJ-1700,MD,2,0,0
749112,CJ-1700,LT,-3,0,0
749116,EE-0250,MD,-1,0,0
749117,EE-0250,RE,1,0,0
749122,CJ-1700,RT,3,0,0
749124,CP-0500,MD,3,1,0
749125,AE-0750,LG,5,1,0
749126,CJ-1700,RE,0,0,0
749129,CJ-1700,LE,-4,0,0
749135,CP-0500,MD,2,0,0
749137,EE-0250,MD,-3,0,0
749142,CJ-1700,MD,5,0,0
749144,CJ-1700,RE,3,0,0
749149,EE-0250,MD,1,0,0
749150,EE-0250,MD,30,1,0
749152,EE-0250,LE,2,0,0
749155,EE-0250,MD,1,0,0
749159,CJ-1700,LE,-1,0,0
749164,EE-0250,MD,0,0,0
749167,DP-2037,RT,10,1,0
749172,AE-0750,LT,6,0,0
749176,EE-0250,LG,3,0,0
749177,EE-0250,RT,1,0,0
749180,CJ-1700,RG,5,1,0
749185,EE-0250,MD,8,1,0
749186,EE-0250,RE,3,1,0
749187,EE-0250,RE,20,1,0
749191,CJ-1700,MD,5,1,0
749194,KW-1250,MD,3,0,0
749198,EE-0250,MD,0,0,0
749209,EE-0250,RE,-4,0,0
749213,CJ-1700,LT,3,0,0
749217,RS-3525,LE,3,0,0
749218,EE-0250,MD,4,0,0
749220,EE-0250,MD,2,0,0
749227,AE-0750,MD,2,0,0
749230,AE-0750,MD,5,1,0
749234,AE-0750,MD,4,1,0
749235,CP-0500,MD,2,1,0
749242,DP-2037,MD,7,1,0
749243,EE-0250,LT,7,1,0
749244,EE-0250,RT,8,1,0
749251,EE-0250,MD,4,1,0
749252,EE-0250,MD,1,0,0
749253,EE-0250,RT,-8,0,0
749267,DP-2037,NL,-1,0,1
