uid,gid,player,solo,comb,sck,saf,blk,ints,pdef,frcv,forc,tdd,rety,tdret,peny,snp,fp,fp2,game,seas,year,team,posd,jnum,dcp,nflid
145311,4527,CF-0337,2,1,0,0,0,0,0,0,0,0,0,0,0,52,2.5,0,5,2,2017,CIN,FS,42,2,2555355
145312,4527,AB-1650,1,0,0,0,0,0,0,0,0,0,0,0,15,11,1,0,1,2,2017,CIN,NT,99,2,2555267
145313,4527,JS-2050,1,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0,17,3,2017,CIN,LCB,26,2,2552259
145314,4527,JW-4912,0,1,0,0,0,0,0,0,0,0,0,0,0,26,0.5,0,1,1,2017,CIN,RDE,75,2,2557884
145315,4527,CD-2200,0,1,0,0,0,0,0,0,0,0,0,0,0,55,0.5,0,17,8,2017,CIN,LDE,96,1,496780
145316,4527,CS-2350,1,0,0,0,0,0,0,0,0,0,0,0,0,28,1,0,7,4,2017,CIN,LDE,94,2,2543692
145317,4527,RG-1150,1,0,0,0,0,0,0,0,0,0,0,0,0,26,1,0,1,1,2017,CIN,RDT,98,2,2557851
145318,4527,PR-0125,1,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,1,1,2017,BAL,NT,91,3,2558990
145319,4528,AH-0250,2,4,0,0,0,0,0,0,0,0,0,0,0,52,4,0,18,4,2017,HOU,FS,29,1,2543874
145320,4528,KJ-0650,3,2,0,0,0,0,0,0,0,0,0,0,20,53,4,0,7,3,2017,HOU,RCB,30,1,2552261
145321,4528,WM-0550,2,3,0,0,0,0,0,0,0,0,0,0,0,55,3.5,0,18,6,2017,HOU,SLB,59,1,2533049
145322,4528,ZC-0300,0,4,0,0,0,0,1,0,0,0,0,0,0,28,3,0,1,1,2017,HOU,RILB,41,3,2558094
145323,4528,PP-0800,1,1,0,0,0,0,0,0,0,0,0,0,0,8,1.5,0,17,11,2017,JAC,MLB,51,1,2495712
145324,4528,AJ-1150,0,2,0.5,0,0,0,0,1,0,0,0,0,0,41,4,2.5,16,5,2017,JAC,NT,95,1,2539230
145325,4528,CC-0200,4,2,4,0,0,0,0,0,0,0,0,0,0,63,13,4,17,10,2017,JAC,RDE,93,1,744
145326,4528,AB-2250,5,1,0,0,0,0,1,0,0,0,0,0,30,64,6.5,0,18,5,2017,JAC,RCB,21,1,2541162
145327,4528,BM-1450,3,6,0,0,0,0,0,0,0,0,0,0,0,59,6,0,19,3,2017,HOU,RILB,55,1,2552490
145328,4528,JW-1100,1,0,0,0,0,0,0,0,0,0,0,0,0,50,1,0,4,7,2017,HOU,LDE,99,1,2495488
145329,4528,MJ-0015,6,8,0,0,0,0,0,0,0,0,0,0,0,64,10,0,15,2,2017,JAC,SLB,44,1,2555329
145330,4528,BC-1200,3,3,0,0,0,0,0,0,0,0,0,0,0,64,4.5,0,14,8,2017,JAC,SS,42,1,494259
145331,4528,YN-0100,3,1,2,0,0,0,0,1,2,0,0,0,30,59,13.5,4,17,2,2017,JAC,LDE,91,1,2555421
145332,4528,TS-2050,0,2,0,0,0,0,1,0,0,0,0,0,0,64,2,0,17,4,2017,JAC,WLB,50,1,2543711
145333,4528,JR-0150,2,1,0,0,0,0,3,0,0,0,0,0,0,64,5.5,0,17,2,2017,JAC,LCB,20,1,2555280
145334,4528,KJ-0100,4,2,0,0,0,0,0,0,0,0,0,0,0,45,5,0,17,8,2017,HOU,RCB,25,2,496735
145335,4528,MG-0600,1,2,0,0,0,0,1,0,0,0,0,0,0,22,3,0,14,7,2017,HOU,FS,40,2,2495153
145336,4528,BC-3100,0,3,0,0,0,0,0,0,0,0,0,0,9,32,1.5,0,16,9,2017,HOU,LILB,56,1,80421
145337,4528,JJ-5000,0,1,0,0,0,0,2,0,0,0,0,0,0,42,2.5,0,16,12,2017,HOU,LCB,24,1,2495872
145338,4528,TG-0950,4,2,0,0,0,1,1,0,0,0,0,0,5,64,8,2,17,6,2017,JAC,FS,39,1,2532848
145339,4528,DF-1481,3,0,1,0,0,0,0,1,0,1,0,0,4,35,13,9,17,3,2017,JAC,DL,56,3,2553431
145340,4528,JC-3350,0,1,0,0,0,0,0,0,0,0,0,0,5,53,0.5,0,17,4,2017,HOU,OLB,90,1,2543456
145341,4528,DR-0625,2,3,0,0,0,0,0,0,0,0,0,0,20,46,3.5,0,18,2,2017,HOU,NT,98,1,2555388
145342,4528,EA-0525,1,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,1,1,2017,JAC,NT,99,2,2559132
145343,4528,BD-1100,2,1,0,0,0,0,0,0,0,0,0,0,0,25,2.5,0,3,4,2017,HOU,LDE,92,2,2550559
145344,4528,JH-3220,1,1,0,0,0,0,0,0,0,0,0,0,0,38,1.5,0,15,2,2017,HOU,RDE,93,2,2556551
145345,4528,CM-2850,3,1,0,0,0,0,0,0,0,0,0,0,0,44,3.5,0,15,3,2017,HOU,SS,43,1,2553817
145346,4528,MJ-0030,3,0,1,0,0,0,1,0,0,0,0,0,5,58,6,1,17,6,2017,JAC,DT,97,1,2532873
145347,4528,DS-3125,1,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,1,1,2017,JAC,LDE,94,3,2557839
145348,4528,EP-0550,1,0,0,0,0,0,0,0,0,0,0,0,10,14,1,0,17,6,2017,HOU,SS,35,2,2532928
145349,4528,AC-2250,1,0,0,0,0,0,0,0,0,0,0,0,0,64,1,0,11,4,2017,JAC,RCB,22,2,2543501
