uid,gid,player,pa,pc,py,ints,tdp,ra,sra,ry,tdr,trg,rec,recy,tdrec,ret,rety,tdret,fuml,peny,conv,snp,fp,fp2,fp3,game,seas,year,team,posd,jnum,dcp,nflid
94300,4527,JH-4025,0,0,0,0,0,6,2,26,0,1,1,-2,0,0,0,0,0,0,0,10,2.4,2.9,3.4,16,4,2017,CIN,RB,32,1,2543603
94301,4527,MC-0150,0,0,0,0,0,1,0,2,0,0,0,0,0,4,29,0,0,0,0,13,0.2,0.2,0.2,4,4,2017,BAL,LWR,12,2,2550163
94302,4527,TW-1350,0,0,0,0,0,19,11,80,1,1,0,0,0,0,0,0,0,0,0,27,14,14,14,17,4,2017,BAL,RB,28,1,2543664
94303,4527,JF-1900,17,9,121,1,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,66,6.84,7.84,7.84,17,10,2017,BAL,QB,5,1,382
94304,4527,DW-4300,0,0,0,0,0,1,0,4,0,3,3,33,0,0,0,0,0,0,0,6,3.7,5.2,6.7,3,10,2017,BAL,RB,39,2,4327
94305,4527,JA-1025,0,0,0,0,0,21,8,71,0,1,0,0,0,0,0,0,0,0,0,33,7.1,7.1,7.1,5,3,2017,BAL,RB,37,3,2552631
94306,4527,BP-0450,0,0,0,0,0,0,0,0,0,4,1,5,0,0,0,0,0,0,0,42,0.5,1,1.5,17,3,2017,BAL,LWR,11,1,2552597
94307,4527,JM-0200,0,0,0,0,0,0,0,0,0,4,2,56,1,0,0,0,0,0,0,48,11.6,12.6,13.6,14,9,2017,BAL,WR,18,1,80429
94308,4527,JM-5275,0,0,0,0,0,8,1,9,0,3,3,15,0,0,0,0,0,0,0,22,2.4,3.9,5.4,1,1,2017,CIN,RB,28,3,2557976
94309,4527,AG-1500,0,0,0,0,0,0,0,0,0,10,5,74,0,0,0,0,0,0,0,55,7.4,9.9,12.4,11,7,2017,CIN,LWR,18,1,2495450
94310,4527,MW-2450,0,0,0,0,0,0,0,0,0,1,1,5,0,0,0,0,0,0,0,17,0.5,1,1.5,5,3,2017,BAL,TE,87,3,2552468
94311,4527,AE-1037,0,0,0,0,0,0,0,0,0,0,0,0,0,6,25,0,0,0,0,7,0,0,0,13,2,2017,CIN,RWR,12,4,2556519
94312,4527,GB-0350,0,0,0,0,0,7,2,40,0,2,1,39,0,0,0,0,0,4,0,29,7.9,8.4,8.9,11,5,2017,CIN,RB,25,2,2540156
94313,4527,BW-0700,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,40,0,0,0,1,14,2017,BAL,TE,82,2,2506122
94314,4527,TE-0300,0,0,0,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,54,0.4,0.9,1.4,9,5,2017,CIN,TE,85,1,2540148
94315,4527,CC-4450,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,10,0,0,0,9,2,2017,CIN,LWR,16,2,2555331
94316,4527,NB-0450,0,0,0,0,0,0,0,0,0,1,1,14,0,0,0,0,0,10,0,45,1.4,1.9,2.4,7,3,2017,BAL,TE,86,1,2552402
94317,4527,MW-0500,0,0,0,0,0,0,0,0,0,1,1,8,0,0,0,0,0,0,0,47,0.8,1.3,1.8,17,9,2017,BAL,RWR,17,1,2507763
94318,4527,TB-2075,0,0,0,0,0,0,0,0,0,4,1,11,0,0,0,0,0,0,0,42,1.1,1.6,2.1,17,2,2017,CIN,RWR,83,2,2555466
94319,4527,CM-2675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,15,2,2017,BAL,RWR,10,2,2555209
94320,4528,ML-1500,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,64,0,0,0,11,12,2017,JAC,TE,89,1,2495888
94321,4528,LF-0650,0,0,0,0,0,26,13,100,1,3,3,24,0,0,0,0,0,0,0,39,18.4,19.9,24.4,1,1,2017,JAC,RB,27,1,2557973
94322,4528,BB-2425,21,11,125,0,1,3,1,13,0,0,0,0,0,0,0,0,0,0,0,64,10.3,10.3,10.3,17,4,2017,JAC,QB,5,1,2543477
94323,4528,AR-1250,0,0,0,0,0,0,0,0,0,1,1,17,0,0,0,0,0,0,0,3,1.7,2.2,2.7,17,4,2017,JAC,LWR,15,1,2543509
94324,4528,AH-3900,0,0,0,0,0,0,0,0,0,4,3,42,0,0,0,0,0,0,0,51,4.2,5.7,7.2,12,4,2017,JAC,RWR,88,3,2550353
94325,4528,LM-1150,0,0,0,0,0,17,9,65,0,2,2,31,0,0,0,0,0,0,0,64,9.6,10.6,11.6,17,6,2017,HOU,RB,26,1,2533034
94326,4528,TS-0550,13,7,62,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,31,-1.52,-1.52,0.48,4,4,2017,HOU,QB,3,1,2543640
94327,4528,DH-3950,0,0,0,0,0,0,0,0,0,16,7,55,1,0,0,0,0,10,0,79,11.5,15,18.5,19,5,2017,HOU,LWR,10,1,2540165
94328,4528,ML-0650,0,0,0,0,0,0,0,0,0,4,0,0,0,4,7,0,0,0,0,53,0,0,0,17,4,2017,JAC,RWR,11,1,2543475
