pid,qtr,min,sec,dwn,yds,pts,player,type
748084,4,7,24,2,77,7,SS-1250,REC
748091,4,5,46,1,15,7,CC-2350,RUSH
748138,1,9,13,2,3,7,JH-5575,RUSH
748180,2,5,47,2,7,7,AB-3500,REC
748192,2,0,47,1,2,7,AS-0775,REC
748225,3,6,49,1,1,7,LB-0250,RUSH
748284,5,8,34,1,19,6,JH-5575,RUSH
748292,1,11,1,2,1,7,DC-3550,RUSH
748332,2,10,29,1,2,7,JW-6560,REC
748356,2,0,53,1,17,7,SD-0537,REC
748373,3,12,36,3,59,7,SD-0537,REC
748382,3,8,52,1,15,7,CB-2775,REC
748408,3,0,1,1,25,7,DJ-0200,REC
748525,2,1,21,3,4,7,DB-0500,REC
748545,3,10,15,2,10,7,CC-0750,REC
748552,3,7,47,2,55,7,RM-1500,REC
748564,3,3,57,1,24,7,JS-4550,REC
748573,3,1,49,1,75,7,DM-4300,RUSH
748583,4,14,6,1,27,6,LW-1450,REC
748620,4,1,55,2,8,7,PR-0150,REC
748638,1,9,40,3,10,7,AG-1500,REC
748647,1,7,51,1,1,7,LK-0200,REC
748669,2,12,35,2,6,7,GB-0350,REC
748675,2,10,20,3,75,7,WJ-0150,INT
748714,3,10,0,3,1,7,JN-0900,REC
748779,4,0,21,1,3,7,JN-0900,REC
748800,1,12,9,1,30,7,TH-1750,REC
748814,1,5,37,1,6,7,AW-1650,REC
748825,1,0,12,1,11,7,MG-1150,RUSH
748939,4,2,0,1,69,7,KH-2850,RUSH
748961,1,9,51,3,22,7,CT-1220,REC
749009,2,3,53,3,18,7,VD-0100,REC
749033,3,10,47,1,52,7,JD-2350,REC
749049,3,4,0,2,21,7,JC-4300,REC
749113,1,10,6,3,25,7,JB-6750,REC
749167,2,1,16,1,10,7,DP-2037,RUSH
749188,3,8,42,1,15,7,DB-5300,REC
749204,3,3,21,2,15,7,LF-0200,REC
749221,4,12,3,2,37,7,BB-4100,REC
749244,4,5,3,1,8,7,EE-0250,RUSH
