pid,fgxp,fkicker,dist,good
747856,XP,WL-0300,33,1
747871,FG,WL-0300,33,1
747881,XP,WL-0300,33,1
747903,XP,GG-0100,33,1
747912,FG,WL-0300,50,1
747920,FG,WL-0300,56,0
747929,XP,WL-0300,33,1
747989,XP,JE-0250,33,1
748032,FG,JE-0250,52,0
748044,XP,JE-0250,33,1
748067,XP,AR-1450,33,1
748074,XP,AR-1450,33,1
748085,XP,AR-1450,33,1
748092,XP,JE-0250,33,1
748103,FG,AR-1450,41,1
748113,FG,JE-0250,46,1
748123,FG,JE-0250,61,1
748139,XP,CB-0700,33,1
748153,FG,CB-0700,47,0
748181,XP,CB-2275,33,1
748193,XP,CB-0700,33,1
748201,FG,CB-2275,35,0
748203,FG,CB-0700,24,1
748226,XP,CB-2275,33,1
748255,FG,CB-2275,32,1
748293,XP,KF-0250,33,1
748302,FG,NF-0300,40,1
748333,XP,KF-0250,33,1
748357,XP,KF-0250,33,1
748374,XP,KF-0250,33,1
748383,XP,NF-0300,33,1
748398,FG,KF-0250,20,1
748409,XP,NF-0300,33,1
748423,FG,KF-0250,37,1
748492,FG,RS-3400,24,1
748510,FG,RS-3400,37,1
748526,XP,BW-0350,33,1
748535,FG,RS-3400,47,1
748546,XP,BW-0350,33,1
748553,XP,RS-3400,33,1
748565,XP,RS-3400,33,1
748574,XP,RS-3400,33,1
748593,FG,RS-3400,35,1
748621,XP,BW-0350,33,1
748639,XP,RB-4650,33,1
748648,XP,MC-3000,33,1
748670,XP,RB-4650,33,1
748676,XP,RB-4650,33,1
748715,XP,MC-3000,33,1
748731,FG,RB-4650,48,0
748740,FG,MC-3000,28,1
748765,FG,RB-4650,46,1
748780,XP,MC-3000,33,1
748792,FG,MC-3000,27,1
748801,XP,CS-0250,33,1
748815,XP,CS-0250,33,1
748826,XP,YK-0100,33,1
748847,FG,CS-0250,34,1
748863,FG,YK-0100,29,1
748940,XP,CS-0250,33,1
748962,XP,DH-3970,33,1
749010,XP,DH-3970,33,1
749034,XP,DH-3970,33,1
749043,FG,DH-3970,52,0
749050,XP,GT-0150,33,1
749059,FG,DH-3970,23,1
749072,FG,GT-0150,22,1
749082,FG,DH-3970,28,1
749114,XP,PD-0200,33,1
749136,FG,PD-0200,36,0
749168,XP,DB-0200,33,1
749189,XP,DB-0200,33,1
749206,XP,PD-0200,33,1
749222,XP,DB-0200,33,1
749239,FG,PD-0200,37,1
749245,XP,DB-0200,33,1
