pid,psr,trg,loc,yds,comp,succ,spk,dfb
742978,BR-1100,LB-0250,SR,0,0,0,0,
742980,BR-1100,MB-4550,DL,0,0,0,0,
742982,DK-0875,CC-3650,DR,23,1,1,0,
742984,DK-0875,SD-0534,SL,21,1,1,0,
742990,BR-1100,MB-4550,SR,14,1,1,0,
742993,BR-1100,LB-0250,SR,10,1,1,0,
742996,BR-1100,JJ-0725,SM,2,1,1,0,
742999,DK-0875,CC-3650,SL,-5,1,0,0,
743003,DK-0875,KB-1900,SR,13,1,1,0,
743005,DK-0875,DJ-1850,SL,0,0,0,0,WG-0500
743007,DK-0875,SD-0534,SL,6,1,1,0,
743009,DK-0875,KW-1175,SL,0,0,0,0,
743010,BR-1100,JJ-0725,SL,2,1,0,0,
743012,BR-1100,AB-3500,SL,9,1,1,0,
743014,BR-1100,AB-3500,SL,16,1,1,0,
743016,BR-1100,ER-0462,SM,0,0,0,0,EO-0075
743017,BR-1100,MB-4550,DM,0,0,0,0,BB-2231
743019,DK-0875,KB-1900,DM,0,0,0,0,
743020,DK-0875,SD-0534,SR,6,1,0,0,
743023,BR-1100,AB-3500,SR,5,1,0,0,
743024,BR-1100,AB-3500,SR,12,1,1,0,
743026,BR-1100,LB-0250,SR,-1,1,0,0,
743027,BR-1100,ER-0462,SL,0,0,0,0,JP-1975
743030,DK-0875,DJ-1850,DR,0,0,0,0,
743031,DK-0875,IC-0300,SL,10,1,1,0,
743032,DK-0875,RL-1325,DR,29,1,1,0,
743033,DK-0875,IC-0300,SM,23,1,1,0,
743035,DK-0875,DN-1225,SL,7,1,1,0,
743036,DK-0875,RL-1325,SM,0,0,0,0,
743037,DK-0875,CC-3650,SL,3,1,1,0,
743040,BR-1100,JJ-0725,SR,8,1,1,0,
743042,BR-1100,AB-3500,DL,38,1,1,0,
743049,JG-1850,SW-0450,SL,13,1,1,0,
743050,JG-1850,RW-4050,SR,21,1,1,0,
743051,JG-1850,TH-1550,SR,0,0,0,0,
743052,JG-1850,SW-0450,SL,7,1,1,0,
743053,JG-1850,CK-1300,SL,0,0,0,0,
743058,ST-0700,TH-1850,SL,0,0,0,0,
743063,ST-0700,JD-2550,SR,21,1,1,0,
743064,ST-0700,JD-2550,SL,20,1,1,0,
743067,ST-0700,MM-0050,SR,21,1,1,0,
743070,ST-0700,DM-2775,SR,0,0,0,0,
743075,JG-1850,CK-1300,SR,6,1,1,0,
743080,JG-1850,TG-1950,SM,4,1,0,0,
743084,ST-0700,TH-1850,SL,9,1,0,0,
743089,JG-1850,TG-1950,SR,0,0,0,0,
743091,ST-0700,TH-1850,SR,16,1,1,0,
743094,ST-0700,KA-0400,DR,0,0,0,0,LJ-1800
743096,JG-1850,CK-1300,DL,24,1,1,0,
743097,JG-1850,RW-4050,SR,0,0,0,0,
743098,JG-1850,GE-0400,DL,39,1,1,0,
743105,ST-0700,RT-1950,SL,-4,1,0,0,
743107,JG-1850,SW-0450,SR,24,1,1,0,
743108,JG-1850,RW-4050,SR,5,1,1,0,
743110,JG-1850,RW-4050,SR,0,0,0,0,
743111,JG-1850,SW-0450,SL,4,1,0,0,
743112,JG-1850,CK-1300,DM,18,1,1,0,
743115,ST-0700,TH-1850,DL,32,1,1,0,
743117,ST-0700,FG-0200,SR,10,1,0,0,
743118,ST-0700,TH-1850,SL,0,0,0,0,
743119,ST-0700,JD-2550,SM,0,0,0,0,
743121,JG-1850,TG-1950,SL,23,1,1,0,
743123,JG-1850,DC-0775,SR,0,0,0,0,
743124,JG-1850,TG-1950,SR,7,1,0,0,
743131,ST-0700,DM-2775,SR,0,0,0,0,AO-0250
743133,ST-0700,KA-0400,SM,3,1,0,0,
743135,ST-0700,TH-1850,DR,0,0,0,0,
743137,JG-1850,TH-1550,SL,8,1,1,0,
743139,JG-1850,RW-4050,DL,27,1,1,0,
743146,ST-0700,TH-1850,SL,0,0,0,0,
743154,JG-1850,CK-1300,SM,0,0,0,0,
743155,JG-1850,TA-1050,SR,7,1,0,0,
743159,ST-0700,DM-2775,SL,0,0,0,0,NR-0350
743163,JG-1850,SW-0450,SL,10,1,1,0,
