uid,gid,fpid,tname,drvn,obt,qtr,min,sec,yfog,plays,succ,rfd,pfd,ofd,ry,ra,py,pa,pc,peyf,peya,net,res
106192,4544,744864,MIN,5,PUNT,2,2,10,42,3,1,0,0,0,-3,1,-5,2,1,0,0,-8,PUNT
106193,4544,744868,PIT,6,PUNT,2,2,25,12,9,3,0,3,0,0,0,42,9,6,0,0,42,PUNT
106194,4544,744878,MIN,6,PUNT,2,0,35,9,1,1,0,0,0,7,1,0,0,0,5,0,12,ENDQ
106195,4544,744881,MIN,7,KOFF,3,0,35,30,4,1,0,0,0,6,1,0,3,0,0,0,6,DWNS
106196,4544,744885,PIT,7,DWNS,3,2,6,64,4,0,0,0,0,-2,1,5,2,2,5,0,8,FG
106197,4544,744891,MIN,8,KOFF,3,2,22,18,6,6,3,1,0,40,4,25,2,2,17,0,82,TD
106198,4544,744900,PIT,8,KOFF,3,4,52,15,10,4,0,3,0,8,3,66,6,4,0,0,74,FG
106199,4544,744911,MIN,9,KOFF,3,4,58,17,9,4,0,2,0,8,1,45,8,6,0,20,33,PUNT
106200,4544,744923,PIT,9,PUNT,3,5,8,19,8,5,0,2,1,7,3,45,5,5,5,10,52,PUNT
106201,4544,744935,MIN,10,PUNT,4,1,57,1,5,2,0,1,0,12,2,5,3,1,0,0,17,PUNT
106202,4544,744942,PIT,10,PUNT,4,4,44,17,11,7,2,2,0,21,5,43,5,3,0,0,64,FG
106203,4544,744954,MIN,11,KOFF,4,1,5,25,6,2,0,1,0,0,0,20,6,2,0,15,5,DWNS
106204,4544,744962,PIT,11,DWNS,4,0,20,70,4,0,0,0,0,5,3,0,0,0,0,0,5,FG
106205,4544,744967,MIN,12,KOFF,4,1,3,25,4,0,0,1,0,0,0,9,4,3,0,0,9,FUM
106206,4544,744971,PIT,12,FUM,4,0,50,61,2,0,0,0,1,-2,2,0,0,0,0,0,-2,ENDQ
106207,4545,744974,NE,1,KOFF,1,4,29,25,10,6,1,4,0,16,3,59,7,6,0,0,75,TD
