uid,gid,player,pa,pc,py,ints,ra,sra,ry,trg,rec,recy,fuml,peny
45928,4526,MG-0850,5,2,30,0,0,0,0,0,0,0,0,0
45929,4526,ZM-0250,0,0,0,0,0,0,0,2,1,11,0,0
45930,4526,JB-2950,0,0,0,0,0,0,0,1,0,0,0,0
45931,4527,JF-1900,5,1,8,0,0,0,0,0,0,0,0,0
45932,4527,DW-4300,0,0,0,0,1,0,4,1,1,8,0,0
45933,4527,BP-0450,0,0,0,0,0,0,0,2,0,0,0,0
45934,4527,GB-0350,0,0,0,0,2,0,3,0,0,0,0,0
45935,4527,AD-0100,5,2,12,1,0,0,0,0,0,0,1,0
45936,4527,BL-0100,0,0,0,0,0,0,0,2,1,6,0,0
45937,4527,TW-1350,0,0,0,0,2,1,5,0,0,0,0,0
45938,4527,JH-4025,0,0,0,0,1,0,2,0,0,0,0,0
45939,4527,AG-1500,0,0,0,0,0,0,0,2,1,6,0,0
45940,4527,JA-1025,0,0,0,0,1,0,1,1,0,0,0,0
45941,4527,JM-0200,0,0,0,0,0,0,0,1,0,0,0,0
45942,4528,LF-0650,0,0,0,0,7,3,12,0,0,0,0,0
45943,4528,BB-2425,3,2,10,0,2,0,-2,0,0,0,0,0
45944,4528,KC-1550,0,0,0,0,0,0,0,1,0,0,0,0
45945,4528,CI-0300,0,0,0,0,1,0,2,0,0,0,0,0
45946,4528,TB-1720,0,0,0,0,1,0,0,1,1,1,0,0
45947,4528,DW-1725,6,2,11,1,0,0,0,0,0,0,0,0
45948,4528,BE-0350,0,0,0,0,0,0,0,1,0,0,0,0
45949,4528,DH-3950,0,0,0,0,0,0,0,3,2,11,0,10
45950,4528,AH-3900,0,0,0,0,0,0,0,1,1,9,0,0
45951,4528,TE-0350,0,0,0,0,0,0,0,1,0,0,0,0
45952,4528,SA-0850,0,0,0,0,0,0,0,1,0,0,0,0
45953,4529,LM-1000,0,0,0,0,5,2,16,0,0,0,0,0
45954,4529,MT-1300,0,0,0,0,2,1,-5,0,0,0,0,0
45955,4529,TT-0500,6,3,7,1,1,1,14,0,0,0,0,0
45956,4529,CC-2100,0,0,0,0,0,0,0,3,1,1,0,0
45957,4529,PD-0700,0,0,0,0,0,0,0,1,1,5,0,0
45958,4529,ZJ-0100,0,0,0,0,0,0,0,1,0,0,0,0
45959,4529,AH-3600,0,0,0,0,0,0,0,1,1,1,0,0
45960,4529,JM-2900,3,2,8,0,1,1,1,0,0,0,0,0
45961,4529,AS-3550,0,0,0,0,0,0,0,1,1,8,0,0
45962,4529,JK-0250,0,0,0,0,0,0,0,1,0,0,0,0
45963,4529,BP-1200,0,0,0,0,0,0,0,1,1,0,0,0
45964,4530,DC-0725,6,3,29,0,0,0,0,0,0,0,0,0
45965,4530,AC-2350,0,0,0,0,0,0,0,4,1,8,0,0
45966,4530,MM-0912,5,3,21,0,2,1,11,0,0,0,0,0
45967,4530,ML-2500,0,0,0,0,3,2,8,0,0,0,0,0
45968,4530,CP-0750,0,0,0,0,0,0,0,1,1,2,0,0
45969,4530,CD-0975,0,0,0,0,0,0,0,1,1,11,0,0
45970,4530,ED-0200,0,0,0,0,0,0,0,3,2,10,0,0
45971,4530,RM-1500,0,0,0,0,0,0,0,1,0,0,0,0
45972,4530,DM-4300,0,0,0,0,1,0,-1,0,0,0,0,0
45973,4530,SR-0750,0,0,0,0,0,0,0,1,1,19,0,0
45974,4531,LB-0500,0,0,0,0,2,2,8,1,1,1,0,0
45975,4531,CW-1425,3,2,6,0,0,0,0,0,0,0,0,0
45976,4531,NA-0050,0,0,0,0,0,0,0,1,1,5,0,0
45977,4531,BC-0700,0,0,0,0,0,0,0,1,0,0,0,0
45978,4531,KC-2350,6,2,5,1,0,0,0,0,0,0,0,0
45979,4531,RG-1650,0,0,0,0,0,0,0,1,1,1,0,0
45980,4531,TP-2400,0,0,0,0,0,0,0,2,1,4,0,0
45981,4531,JC-5680,0,0,0,0,0,0,0,2,0,0,0,0
45982,4531,JR-1150,0,0,0,0,0,0,0,1,0,0,0,0
45983,4532,IC-0300,0,0,0,0,2,1,4,0,0,0,0,0
45984,4532,DK-0875,3,2,10,0,2,1,12,0,0,0,0,0
45985,4532,BR-1100,4,3,16,0,0,0,0,0,0,0,0,0
45986,4532,JJ-0725,0,0,0,0,0,0,0,3,2,6,0,0
45987,4532,LB-0250,0,0,0,0,3,1,11,1,1,10,0,0
45988,4532,MD-0175,0,0,0,0,1,0,1,0,0,0,0,0
45989,4532,DN-1225,0,0,0,0,0,0,0,1,1,7,0,0
45990,4532,RL-1325,0,0,0,0,0,0,0,1,0,0,0,0
45991,4532,CC-3650,0,0,0,0,0,0,0,1,1,3,0,0
45992,4533,MM-0050,0,0,0,0,3,1,2,0,0,0,0,0
45993,4533,ST-0700,2,0,0,0,0,0,0,0,0,0,0,0
45994,4533,DM-2775,0,0,0,0,0,0,0,1,0,0,0,0
45995,4533,TG-1950,0,0,0,0,2,1,6,0,0,0,0,0
45996,4533,JG-1850,2,2,27,0,0,0,0,0,0,0,0,0
45997,4533,CK-1300,0,0,0,0,0,0,0,1,1,18,0,0
45998,4533,TH-1850,0,0,0,0,0,0,0,1,0,0,0,0
45999,4533,RT-1950,0,0,0,0,1,0,2,0,0,0,0,0
46000,4533,TH-1550,0,0,0,0,0,0,0,1,1,9,0,0
46001,4533,MB-3862,0,0,0,0,3,1,7,0,0,0,0,0
46002,4534,CN-0500,2,1,9,0,1,0,1,0,0,0,0,0
46003,4534,CM-1225,0,0,0,0,1,1,4,0,0,0,0,0
46004,4534,JS-6700,0,0,0,0,2,1,3,1,1,9,0,0
46005,4534,BH-1900,4,3,20,0,1,0,-5,0,0,0,0,0
46006,4534,GK-0075,0,0,0,0,0,0,0,1,1,3,0,5
46007,4534,CH-5000,0,0,0,0,1,0,0,2,2,17,0,0
46008,4534,MG-1050,0,0,0,0,0,0,0,1,0,0,0,0
46009,4535,RW-3850,5,1,8,0,0,0,0,0,0,0,0,0
46010,4535,TM-1787,0,0,0,0,0,0,0,1,0,0,0,0
46011,4535,TL-1025,0,0,0,0,0,0,0,2,1,8,0,0
46012,4535,TM-3150,0,0,0,0,1,1,6,0,0,0,0,0
46013,4535,EL-0010,0,0,0,0,1,0,-3,0,0,0,0,0
46014,4535,CC-0750,0,0,0,0,1,0,0,0,0,0,0,0
46015,4535,PR-0150,0,0,0,0,0,0,0,1,0,0,0,0
46016,4535,JG-2900,0,0,0,0,0,0,0,1,0,0,0,0
46017,4536,DP-2037,5,2,15,0,0,0,0,0,0,0,0,0
46018,4536,DB-5300,0,0,0,0,0,0,0,3,0,0,0,0
46019,4536,EE-0250,0,0,0,0,2,0,-7,1,1,3,0,0
46020,4536,JW-6000,0,0,0,0,0,0,0,1,1,12,0,0
46021,4536,PP-0350,0,0,0,0,2,0,3,0,0,0,0,0
46022,4536,EM-0200,2,2,15,0,0,0,0,0,0,0,0,0
46023,4536,SS-1250,0,0,0,0,0,0,0,1,1,9,0,0
46024,4536,RL-0625,0,0,0,0,0,0,0,1,1,6,0,0
46025,4536,AM-2850,0,0,0,0,2,1,-1,0,0,0,0,0
46026,4537,AK-0050,0,0,0,0,2,0,2,2,1,8,0,0
46027,4537,DC-3550,0,0,0,0,2,1,6,2,0,0,0,0
46028,4537,SB-1100,9,6,46,0,2,0,-3,0,0,0,0,0
46029,4537,SD-0537,0,0,0,0,0,0,0,3,3,22,0,0
46030,4537,AT-0350,0,0,0,0,0,0,0,2,1,4,0,0
46031,4537,DB-3800,8,4,33,0,0,0,0,0,0,0,0,0
46032,4537,CF-0650,0,0,0,0,0,0,0,3,3,25,0,0
46033,4537,TG-0900,0,0,0,0,1,1,5,1,0,0,0,0
46034,4537,MI-0100,0,0,0,0,2,0,2,0,0,0,0,0
46035,4537,KR-1200,0,0,0,0,0,0,0,2,2,20,0,0
46036,4537,LM-1850,0,0,0,0,1,0,3,0,0,0,0,0
46037,4537,AP-0700,0,0,0,0,1,0,2,1,0,0,0,0
46038,4537,BC-1850,0,0,0,0,0,0,0,1,0,0,0,0
46039,4537,JM-3450,0,0,0,0,1,0,-3,0,0,0,0,0
46040,4538,CA-0750,0,0,0,0,5,2,11,1,1,7,0,0
46041,4538,TS-1450,5,4,31,0,3,2,10,0,0,0,0,0
46042,4538,BF-0950,0,0,0,0,0,0,0,2,2,11,0,0
46043,4538,MG-1150,0,0,0,0,2,0,4,1,1,11,0,0
46044,4538,PR-0300,3,3,27,0,0,0,0,0,0,0,0,0
46045,4538,JC-2300,0,0,0,0,4,2,6,0,0,0,0,0
46046,4538,AD-1175,0,0,0,0,0,0,0,1,1,13,0,0
46047,4538,ES-0200,0,0,0,0,0,0,0,1,0,0,0,0
46048,4538,AE-0550,0,0,0,0,0,0,0,1,1,11,0,0
46049,4538,KA-0650,0,0,0,0,0,0,0,1,1,5,0,15
46050,4539,DF-1362,0,0,0,0,4,2,17,0,0,0,0,0
46051,4539,EB-0550,0,0,0,0,0,0,0,0,0,0,0,5
46052,4539,DW-1725,1,0,0,0,0,0,0,0,0,0,0,0
46053,4539,TE-0350,0,0,0,0,0,0,0,1,0,0,0,0
46054,4539,AD-0100,5,1,2,0,0,0,0,0,0,0,0,0
46055,4539,BL-0100,0,0,0,0,0,0,0,2,1,2,0,0
46056,4539,GB-0350,0,0,0,0,1,0,-5,0,0,0,0,0
46057,4539,JH-4025,0,0,0,0,3,2,7,0,0,0,0,0
46058,4539,TE-0300,0,0,0,0,0,0,0,1,0,0,0,0
46059,4540,FG-0200,0,0,0,0,4,1,9,1,0,0,0,0
46060,4540,RT-1950,0,0,0,0,1,1,5,0,0,0,0,0
